m,lam,parity,Jstar,Jsize,mu,vpi,vpi_minus_mu,Mvec,valvec
13,7|4|2|1|1|1|1|1|1|1|1|1|1|1|1|1,0,0|2,2,6,7,1,946454600|614467448|393807414|249058194|155382108|95595780|57978501|34652163|20401108|11825660|6744815|3781869|2081982|1123122,6|7|6|7|8|9|10|11|12|13|12|13|14|15
13,7|4|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,1,3|7,2,15,17,2,93350400|62760192|41612736|27194016|17504832|11092160|6914944|4238572|2552992|1510080|876480|498696|277728|151008,18|17|16|15|16|17|24|15|18|21|24|19|22|23
13,7|3|3|3|3|3|2|2,0,0|2,2,6,7,1,63103411800|34755417576|19107600534|10481612922|5734546488|3127610640|1699578441|919665879|495211452|265149720|141040575|74454237|38955708|20169864,6|7|6|7|10|13|10|11|12|15|12|13|16|19
13,7|3|3|3|3|1|1|1|1|1|1|1,0,0|2,2,10,11,1,41644002400|24217589088|13993220472|8033550056|4582052160|2595945520|1460462892|815589768|451865624|248202360|135046170|72703554|38673096|20288268,10|11|10|11|16|13|14|17|14|15|14|15|18|17
13,7|3|3|2|2|2|1|1|1|1|1|1|1,1,3|5|7|9,4,19,24,5,35133696000|21134269440|12614250240|7469435520|4387090176|2555068800|1475025120|843628560|477729600|267633504|148176000|80969040|43593120|23072400,22|21|20|19|20|19|20|19|20|19|26|21|22|21
13,7|3|2|2|2|2|2|2|2|1|1,0,0|2,2,8,9,1,17872426000|10613471440|6270890340|3684415020|2151428136|1247760800|718253965|410036605|231936160|129852404|71863700|39252180|21118020|11162580,8|9|8|9|10|15|10|11|18|13|16|17|16|17
13,7|3|2|2|2|2|2|2|1|1|1|1,0,0|2,2,6,7,1,20021155000|12012693000|7164091550|4244914450|2497771920|1458711800|844964050|485101050|275782780|155090320|86164575|47218325|25471600|13490400,6|7|6|7|12|11|12|13|12|17|12|13|20|23
13,7|3|2|2|2|1|1|1|1|1|1|1|1|1|1,0,0|2,2,4,5,1,3505745100|2232889956|1407339747|877523493|541131624|329876800|198691724|118168908|69336872|40096716|22822065|12762783|6996396|3747744,4|5|4|5|10|17|14|15|14|13|12|13|16|23
13,7|3|2|2|1|1|1|1|1|1|1|1|1|1|1|1,0,0|2,2,8,9,1,1033942000|677629680|438854780|280745140|177328632|110536400|67957435|41177955|24570000|14420252|8312700|4697740|2595980|1397760,8|9|8|9|10|13|10|11|16|13|16|17|16|33
13,7|2|2|2|2|2|2|2|2|1|1|1,0,0|2,2,6,7,1,2762102200|1691256424|1029737566|623056018|374379304|223223000|131951469|77246391|44728948|25579804|14421685|7997803|4350412|2312596,6|7|6|7|10|11|10|11|12|13|12|13|16|17
13,7|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1,0,0|2,2,4,5,1,365061060|241501932|158009985|102201399|65312640|41210976|25653285|15737631|9502584|5638248|3280563|1866789|1035288|556920,4|5|4|5|18|15|10|11|14|15|12|13|18|19
13,7|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,0,0|2,2,4,5,1,177100|134596|100947|74613|54264|38760|27132|18564|12376|8008|5005|3003|1716|924,4|5|4|5|10|11|14|15|14|15|12|13|16|17
