m,lam,parity,Jstar,Jsize,mu,vpi,vpi_minus_mu,Mvec,valvec
2,2|2,0,0|2,2,2,inf,inf,2|1|1,2|3|2
3,4|1|1,0,0|2,2,2,3,1,10|4|1|0,2|5|2|inf
3,3|1|1|1,0,0|2,2,2,3,1,10|6|3|1,2|3|2|3
4,6|2,0,0|2,2,4,6,2,20|5|1|0|0,4|5|4|inf|inf
4,5|3,0,0|2,2,4,6,2,28|9|3|1|0,4|5|4|7|inf
4,4|2|2,0,0|4,2,6,8,2,56|26|12|5|2,6|7|8|7|6
4,3|3|1|1,0,0|4,2,6,8,2,56|30|16|9|6,6|7|12|7|6
4,2|2|2|1|1,0,0|2,2,4,6,2,28|19|13|9|6,4|5|4|7|6
4,2|2|1|1|1|1,0,0|2,2,4,6,2,20|15|11|8|6,4|5|4|13|6
5,8|1|1,0,0|2,2,4,5,1,36|8|1|0|0|0,4|7|4|inf|inf|inf
5,7|1|1|1,0,0|2,2,4,5,1,84|28|7|1|0|0,4|5|4|5|inf|inf
5,5|2|1|1|1,1,3|5,2,9,11,2,448|224|104|44|16|4,12|11|10|9|12|9
5,4|4|2,0,0|2,2,4,5,1,252|112|51|24|12|6,4|9|4|11|8|7
5,4|4|1|1,0,0|2,2,4,5,1,300|140|65|31|16|10,4|5|4|5|12|7
5,4|2|2|2,0,0|2,2,4,5,1,300|160|85|44|22|10,4|11|4|9|6|7
5,4|1|1|1|1|1|1,0,0|2,2,4,5,1,84|56|35|20|10|4,4|7|4|9|6|9
5,3|3|2|2,0,0|2,2,4,5,1,252|140|79|45|26|16,4|5|4|5|6|13
5,3|1|1|1|1|1|1|1,0,0|2,2,4,5,1,36|28|21|15|10|6,4|5|4|5|6|7
6,10|2,0,0|2,2,2,6,4,54|9|1|0|0|0|0,2|3|2|inf|inf|inf|inf
6,9|3,0,0|2,2,2,6,4,154|35|7|1|0|0|0,2|3|2|7|inf|inf|inf
6,8|2|2,0,0|4,2,6,8,2,616|196|56|13|2|0|0,6|7|8|7|6|inf|inf
6,7|4|1,1,3|5,2,11,12,1,1408|480|160|52|16|4|0,14|13|12|11|12|11|inf
6,7|3|1|1,0,0|4,2,6,8,2,2376|900|320|105|30|6|0,6|7|14|7|6|9|inf
6,6|6,0,0|2,2,4,9,5,132|42|14|5|2|1|1,4|5|4|7|6|7|6
6,6|4|1|1,0,0|4,2,6,8,2,3080|1260|504|199|78|30|10,6|7|8|7|6|9|8
6,6|3|3,0,0|2,2,2,6,4,1650|675|275|110|42|15|5,2|3|2|9|6|7|6
6,6|3|1|1|1,0,0|2|4|6,4,8,15,7,3696|1680|728|300|116|40|10,8|11|8|11|8|13|8
6,6|2|2|1|1,0,0|2,2,4,9,5,3564|1674|750|315|120|39|9,4|5|4|7|10|7|6
6,6|2|1|1|1|1,0,0|2,2,4,8,4,2100|1050|490|210|80|25|5,4|5|4|9|12|7|6
6,5|5|2,0,0|4,2,6,8,2,1320|540|224|95|42|20|10,6|7|12|7|6|11|8
6,5|3|3|1,0,0|2,2,2,6,4,4158|1953|917|429|198|89|39,2|3|2|7|6|7|6
6,5|3|2|1|1,0,0|2,2,4,8,4,7700|3850|1890|910|428|195|85,4|5|4|9|8|7|6
6,5|3|1|1|1|1,0,0|2,2,4,9,5,3564|1890|966|477|228|105|45,4|5|4|7|8|7|6
6,5|2|2|1|1|1,0,0|2|4|6,4,8,15,7,3696|2016|1064|540|260|116|46,8|13|8|11|8|11|8
6,4|4|2|2,0,0|2|4|6,4,8,12,4,2640|1320|664|336|172|90|50,8|9|8|15|8|9|8
6,4|3|3|1|1,0,0|2,2,2,6,4,4158|2205|1169|621|330|174|90,2|3|2|7|6|9|8
6,4|2|2|2|1|1,0,0|4,2,6,8,2,3080|1820|1064|613|346|190|100,6|7|8|7|6|9|10
6,4|2|2|1|1|1|1,0,0|4,2,6,8,2,2376|1476|896|531|306|170|90,6|7|16|7|6|9|8
6,3|3|3|1|1|1,0,0|2,2,2,6,4,1650|975|575|340|202|120|70,2|3|2|11|6|13|8
6,3|3|2|2|2,0,0|4,2,6,8,2,1320|780|464|277|166|100|60,6|7|10|7|6|11|10
6,3|3|1|1|1|1|1|1,0,0|4,2,6,8,2,616|420|280|183|118|76|50,6|7|8|7|6|11|8
6,3|2|2|2|1|1|1,1,3|5,2,11,12,1,1408|928|608|396|256|164|104,14|13|12|11|20|11|12
6,2|2|2|2|2|2,0,0|2,2,4,9,5,132|90|62|43|30|21|15,4|5|4|7|6|7|6
6,2|2|2|1|1|1|1|1|1,0,0|2,2,2,6,4,154|119|91|69|52|39|29,2|3|2|7|8|7|6
6,2|2|1|1|1|1|1|1|1|1,0,0|2,2,2,6,4,54|45|37|30|24|19|15,2|3|2|9|10|7|6
7,12|1|1,0,0|2,2,2,3,1,78|12|1|0|0|0|0|0,2|5|2|inf|inf|inf|inf|inf
7,11|1|1|1,0,0|2,2,2,3,1,286|66|11|1|0|0|0|0,2|3|2|3|inf|inf|inf|inf
7,9|2|1|1|1,1,3|5,2,9,15,6,4928|1760|560|152|32|4|0|0,12|11|10|9|14|9|inf|inf
7,8|5|1,0,0|2,2,2,3,1,6006|1980|645|208|66|20|5|0,2|5|2|11|6|9|6|inf
7,8|4|2,0,0|2,2,4,5,1,12012|4224|1450|480|150|42|9|0,4|15|4|13|6|7|6|inf
7,8|4|1|1,0,0|2,2,2,3,1,13650|4950|1725|575|180|50|10|0,2|3|2|3|8|7|8|inf
7,8|2|2|2,0,0|2,2,4,5,1,7644|3024|1134|392|120|30|5|0,4|9|4|9|10|7|6|inf
7,8|1|1|1|1|1|1,0,0|2,2,4,5,1,1716|792|330|120|36|8|1|0,4|7|4|9|8|11|6|inf
7,7|5|2,0,0|2,2,2,3,1,14014|5236|1953|728|272|102|38|14,2|5|2|9|12|7|8|9
7,7|5|1|1,0,0|2,2,4,5,1,15444|5940|2250|846|318|120|45|15,4|5|4|5|6|11|6|7
7,7|4|2|1,0,0|2,2,2,3,1,42042|17094|6825|2667|1014|370|125|35,2|3|2|3|6|7|6|7
7,7|4|1|1|1,1,3|7,2,11,13,2,24960|10560|4320|1712|656|240|80|20,14|13|12|11|12|13|14|11
7,7|3|2|2,0,0|2,2,4,5,1,28028|12012|5026|2030|780|278|87|21,4|5|4|5|8|7|6|7
7,7|1|1|1|1|1|1|1,0,0|2,2,4,5,1,1716|924|462|210|84|28|7|1,4|5|4|5|8|9|6|7
7,6|4|2|2,0,0|2,2,2,3,1,42042|18942|8477|3759|1650|716|306|126,2|3|2|3|6|9|8|9
7,6|3|3|1|1,0,0|2|4|6,4,8,12,4,48048|22704|10584|4856|2180|948|394|154,8|9|8|9|8|9|8|9
7,6|3|2|1|1|1,1,5|7,2,13,15,2,59904|29952|14592|6912|3168|1392|576|216,18|17|18|19|14|13|18|13
7,5|5|2|2,0,0|2,2,2,3,1,21450|9900|4575|2120|990|470|230|120,2|5|2|9|6|7|8|13
7,5|4|3|1|1,1,3|5,2,9,13,4,64064|31328|15280|7448|3632|1772|864|420,12|11|10|9|12|9|16|11
7,5|3|3|2|1,1,3|5,2,9,13,4,64064|32736|16688|8472|4272|2132|1048|504,12|11|10|9|12|9|12|13
7,5|3|3|1|1|1,0,0|2|4|6,4,8,12,4,48048|25344|13224|6832|3492|1760|870|420,8|17|8|11|8|15|8|11
7,5|2|2|2|1|1|1,1,3|7,2,11,13,2,24960|14400|8160|4528|2448|1280|640|300,14|13|12|11|12|21|20|11
7,5|2|1|1|1|1|1|1|1,1,3|5,2,9,15,6,4928|3168|1968|1176|672|364|184|84,12|11|10|9|14|9|12|11
7,4|4|4|2,0,0|2,2,4,5,1,12012|5940|2970|1502|768|396|205|105,4|5|4|5|20|9|6|7
7,4|4|3|3,0,0|2,2,4,5,1,12012|6072|3102|1600|832|436|231|126,4|7|4|15|16|9|6|9
7,4|4|2|2|2,0,0|2,2,2,3,1,21450|11550|6225|3355|1810|980|535|295,2|3|2|3|6|9|6|7
7,4|4|2|2|1|1,0,0|2,2,2,3,1,42042|23100|12635|6888|3750|2046|1125|630,2|5|2|9|6|7|6|9
7,4|4|2|1|1|1|1,0,0|2,2,4,5,1,28028|16016|9030|5040|2796|1550|865|490,4|9|4|11|8|7|6|9
7,4|4|1|1|1|1|1|1,0,0|2,2,4,5,1,7644|4620|2730|1582|904|514|295|175,4|5|4|5|10|7|6|7
7,4|3|2|2|1|1|1,0,0|2,2,2,3,1,42042|24948|14679|8568|4962|2852|1628|924,2|5|2|9|6|9|10|11
7,4|2|2|2|2|1|1,0,0|2,2,4,5,1,15444|9504|5814|3528|2118|1254|729|414,4|11|4|9|6|7|6|9
7,4|2|2|2|1|1|1|1,0,0|2,2,2,3,1,13650|8700|5475|3400|2080|1250|735|420,2|5|2|9|14|7|6|11
7,4|1|1|1|1|1|1|1|1|1|1,0,0|2,2,2,3,1,286|220|165|120|84|56|35|20,2|5|2|9|8|11|6|11
7,3|3|2|2|2|1|1,0,0|2,2,2,3,1,14014|8778|5495|3437|2148|1342|839|525,2|3|2|3|8|7|6|7
7,3|3|2|2|1|1|1|1,0,0|2,2,4,5,1,12012|7788|5014|3210|2046|1300|825|525,4|5|4|5|6|9|6|7
7,3|2|2|2|2|1|1|1,0,0|2,2,2,3,1,6006|4026|2691|1793|1190|786|516|336,2|3|2|3|6|7|10|15
7,3|1|1|1|1|1|1|1|1|1|1|1,0,0|2,2,2,3,1,78|66|55|45|36|28|21|15,2|3|2|3|8|9|6|7
8,14|2,0,0|2,2,6,8,2,104|13|1|0|0|0|0|0|0,6|7|6|inf|inf|inf|inf|inf|inf
8,13|3,0,0|2,2,6,8,2,440|77|11|1|0|0|0|0|0,6|7|6|9|inf|inf|inf|inf|inf
8,12|2|2,0,0|4,2,8,10,2,2640|638|132|21|2|0|0|0|0,8|9|10|9|8|inf|inf|inf|inf
8,11|4|1,1,3|5,2,15,16,1,10752|2912|736|168|32|4|0|0|0,18|17|16|15|16|15|inf|inf|inf
8,11|3|1|1,0,0|4,2,8,10,2,16848|4914|1296|297|54|6|0|0|0,8|9|14|9|8|13|inf|inf|inf
8,10|6,0,0|2,2,6,8,2,3640|1001|275|75|20|5|1|0|0,6|7|6|9|10|11|10|inf|inf
8,10|4|1|1,0,0|4,2,8,10,2,43120|14014|4312|1239|322|70|10|0|0,8|9|12|9|8|13|12|inf|inf
8,10|3|3,0,0|2,2,8,10,2,21840|7098|2202|636|164|35|5|0|0,8|9|8|13|10|11|10|inf|inf
8,10|3|1|1|1,0,0|2|4|6,4,12,21,9,45760|16016|5192|1528|392|80|10|0|0,12|15|12|15|12|19|12|inf|inf
8,10|2|2|1|1,0,0|2,2,6,8,2,42120|15093|4995|1485|378|75|9|0|0,6|7|6|9|8|11|10|inf|inf
8,10|2|1|1|1|1,0,0|2,2,6,8,2,24024|9009|3069|924|234|45|5|0|0,6|7|6|13|8|11|10|inf|inf
8,9|7,0,0|2,2,6,8,2,3432|1001|297|90|28|9|3|1|0,6|7|6|11|10|11|10|13|inf
8,9|5|2,0,0|4,2,8,10,2,65520|22386|7524|2475|790|240|66|14|0,8|9|10|9|8|19|12|15|inf
8,9|3|3|1,0,0|2,2,8,10,2,112112|42042|15246|5278|1708|499|123|21|0,8|9|8|11|10|11|10|13|inf
8,9|3|2|1|1,0,0|2,2,6,8,2,194040|75999|28413|10017|3262|945|225|35|0,6|7|6|9|8|11|10|13|inf
8,9|3|1|1|1|1,0,0|2,2,6,8,2,85800|35035|13475|4830|1582|455|105|15|0,6|7|6|11|8|11|10|13|inf
8,9|2|2|1|1|1,0,0|2|4|6,4,12,21,9,82368|34320|13464|4896|1608|456|102|14|0,12|15|12|19|12|17|12|15|inf
8,8|6|2,0,0|4,2,10,12,2,68640|24596|8800|3150|1132|410|150|55|20,10|11|16|11|10|13|12|13|12
8,8|5|3,0,0|4,2,8,10,2,112112|42042|15708|5831|2142|774|272|91|28,8|9|10|9|8|13|18|13|12
8,8|5|2|1,1,5|7,2,19,20,1,266240|103168|39424|14848|5504|2000|704|232|64,24|23|24|27|20|19|22|19|20
8,8|4|2|2,0,0|2|4|6,4,12,16,4,262080|107016|42888|16776|6360|2310|786|238|56,12|13|12|15|12|13|12|15|14
8,8|3|3|1|1,0,0|2,2,6,8,2,280280|119119|49357|19817|7630|2770|922|266|56,6|7|6|9|8|13|12|15|14
8,8|2|2|2|1|1,0,0|4,2,10,12,2,155232|71148|31416|13230|5236|1904|612|161|28,10|11|12|11|10|19|14|13|12
8,8|2|2|1|1|1|1,0,0|4,2,10,12,2,114400|54340|24640|10570|4228|1540|490|125|20,10|11|18|11|10|15|12|13|12
8,7|7|1|1,0,0|4,2,10,12,2,32032|12012|4488|1686|644|254|106|49|28,10|11|12|11|10|13|12|13|12
8,7|5|2|2,0,0|2|4|6,4,12,16,4,320320|136136|57464|24080|10024|4150|1710|700|280,12|13|12|17|12|13|12|17|14
8,7|4|4|1,0,0|4,2,8,10,2,240240|102102|43296|18291|7674|3180|1292|511|196,8|9|16|9|8|15|14|13|12
8,7|4|3|2,1,3|5,2,15,16,1,512512|224224|97504|42024|17888|7484|3056|1204|448,18|17|16|15|16|15|18|17|20
8,7|4|2|2|1,1,3|5,2,15,16,1,698880|317408|142176|62664|27104|11460|4704|1848|672,18|17|16|15|16|15|20|19|18
8,7|4|1|1|1|1|1,1,3|5,2,15,16,1,197120|96096|45408|20808|9248|3980|1648|644|224,18|17|16|15|16|15|18|17|18
8,7|3|3|1|1|1,0,0|2,2,6,8,2,429000|203775|94875|43200|19150|8200|3350|1280|440,6|7|6|21|8|17|12|29|14
8,7|3|2|2|2,0,0|4,2,10,12,2,305760|145236|67872|31038|13804|5920|2416|917|308,10|11|16|11|10|21|18|13|12
8,7|3|1|1|1|1|1|1,0,0|4,2,10,12,2,114400|60060|30360|14730|6828|3000|1230|455|140,10|11|12|11|10|17|12|13|12
8,7|2|2|2|1|1|1,1,3|5,2,15,16,1,197120|101024|50336|24248|11200|4900|1992|728|224,18|17|16|15|18|15|16|19|18
8,6|6|4,0,0|2,2,6,8,2,51480|21021|8679|3627|1536|660|288|127|56,6|7|6|9|24|15|20|13|14
8,6|6|3|1,0,0|2,2,6,8,2,200200|85085|36245|15510|6688|2920|1300|595|280,6|7|6|11|16|17|14|13|14
8,6|6|2|1|1,0,0|2,2,8,10,2,240240|106106|46530|20340|8912|3945|1785|840|420,8|9|8|13|14|11|10|19|12
8,6|6|1|1|1|1,0,0|2,2,8,10,2,91728|42042|18942|8442|3752|1681|771|371|196,8|9|8|11|12|11|10|13|12
8,6|5|3|1|1,0,0|2,2,6,8,2,648648|297297|135729|61830|28152|12837|5877|2709|1260,6|7|6|11|12|11|10|13|12
8,6|4|4|2,0,0|4,2,8,10,2,336336|154154|70840|32613|15022|6908|3162|1435|644,8|9|12|9|8|15|12|13|12
8,6|4|4|1|1,0,0|2|4|6,4,12,19,7,411840|192192|89496|41616|19320|8940|4110|1870|840,12|19|12|17|12|15|12|15|14
8,6|4|3|1|1|1,0,0|2,2,6,8,2,819000|402675|195975|94500|45160|21375|10005|4620|2100,6|7|6|13|12|11|10|17|12
8,6|4|2|2|2,0,0|4,2,10,12,2,480480|236236|115368|55866|26796|12720|5970|2765|1260,10|11|12|11|10|19|12|13|12
8,6|4|1|1|1|1|1|1,0,0|4,2,10,12,2,155232|84084|44352|22806|11452|5628|2712|1281|588,10|11|18|11|10|15|16|13|12
8,6|3|3|3|1,0,0|2,2,6,8,2,360360|177177|86823|42309|20438|9750|4572|2093|924,6|7|6|9|8|13|14|13|12
8,6|3|3|2|2,0,0|2|4|6,4,12,19,7,448448|224224|111496|54992|26824|12892|6074|2786|1232,12|17|12|17|12|15|12|15|16
8,6|3|3|2|1|1,0,0|2,2,6,8,2,819000|416325|209625|104400|51310|24800|11730|5390|2380,6|7|6|17|8|21|12|15|12
8,6|3|3|1|1|1|1,0,0|2,2,6,8,2,429000|225225|116325|59100|29500|14425|6875|3170|1400,6|7|6|13|10|11|10|15|14
8,6|3|1|1|1|1|1|1|1,0,0|2|4|6,4,12,21,9,82368|48048|27192|14904|7896|4032|1974|916|392,12|15|12|15|12|23|12|17|14
8,6|2|2|2|2|2,0,0|2,2,8,10,2,91728|49686|26586|13986|7196|3597|1731|791|336,8|9|8|11|10|11|10|13|16
8,6|2|2|1|1|1|1|1|1,0,0|2,2,6,8,2,85800|50765|29205|16290|8772|4530|2220|1015|420,6|7|6|11|10|13|14|13|12
8,6|2|1|1|1|1|1|1|1|1,0,0|2,2,6,8,2,24024|15015|9075|5280|2940|1554|770|350|140,6|7|6|19|10|13|12|15|12
8,5|5|4|1|1,0,0|2,2,6,8,2,280280|133133|63371|30289|14560|7045|3429|1673|812,6|7|6|9|16|11|10|13|12
8,5|5|3|3,0,0|4,2,8,10,2,171600|81510|38940|18705|9034|4390|2150|1065|540,8|9|10|9|8|13|12|13|12
8,5|5|3|1|1|1,0,0|2|4|6,4,12,19,7,448448|224224|111496|55272|27384|13596|6786|3416|1736,12|17|12|15|12|15|12|19|14
8,5|5|2|2|1|1,0,0|4,2,10,12,2,480480|244244|123376|62010|31076|15580|7854|4011|2100,10|11|14|11|10|15|12|13|12
8,5|5|2|1|1|1|1,0,0|4,2,10,12,2,305760|160524|83160|42630|21700|11020|5620|2905|1540,10|11|12|11|10|15|14|13|12
8,5|4|4|1|1|1,0,0|2,2,6,8,2,360360|183183|92829|46989|23792|12055|6105|3080|1540,6|7|6|9|14|11|10|19|12
8,5|4|2|2|1|1|1,1,3|5,2,15,16,1,698880|381472|206240|110520|58752|31020|16296|8540|4480,18|17|16|15|20|15|16|17|22
8,5|3|3|3|2,0,0|2,2,6,8,2,280280|147147|77385|40705|21378|11190|5826|3010|1540,6|7|6|9|8|13|12|15|12
8,5|3|3|3|1|1,0,0|2|4|6,4,12,19,7,411840|219648|116952|62136|32904|17340|9078|4712|2416,12|25|12|15|12|15|12|19|16
8,5|3|3|2|2|1,0,0|2,2,6,8,2,648648|351351|189783|102114|54666|29076|15336|8001|4116,6|7|6|11|8|15|16|13|12
8,5|3|3|1|1|1|1|1,0,0|2,2,6,8,2,280280|161161|91399|51177|28308|15465|8333|4417|2296,6|7|6|9|10|11|10|13|14
8,5|3|2|2|2|2,0,0|2,2,8,10,2,240240|134134|74558|41172|22548|12225|6549|3458|1792,8|9|8|13|10|11|10|15|24
8,5|3|2|1|1|1|1|1|1,0,0|2,2,6,8,2,194040|118041|70455|41265|23716|13370|7386|3990|2100,6|7|6|9|10|13|12|15|12
8,5|3|1|1|1|1|1|1|1|1,0,0|2,2,6,8,2,42120|27027|16929|10341|6156|3570|2016|1107|588,6|7|6|9|10|13|20|13|12
8,5|2|2|1|1|1|1|1|1|1,0,0|2|4|6,4,12,21,9,45760|29744|18920|11760|7128|4200|2394|1310|680,12|15|12|17|12|17|12|15|14
8,4|4|4|2|2,0,0|4,2,8,10,2,171600|90090|47520|25185|13414|7180|3860|2080|1120,8|9|16|9|8|15|14|23|18
8,4|4|3|3|1|1,0,0|4,2,8,10,2,336336|182182|98868|53781|29330|16038|8796|4844|2688,8|9|10|9|8|13|14|17|22
8,4|4|3|2|1|1|1,1,3|5,2,15,16,1,512512|288288|161568|90328|50432|28148|15720|8792|4928,18|17|16|15|22|15|16|19|20
8,4|4|2|2|2|1|1,0,0|2|4|6,4,12,16,4,320320|184184|105512|60224|34264|19450|11034|6272|3584,12|13|12|21|12|13|12|27|26
8,4|4|2|2|1|1|1|1,0,0|2|4|6,4,12,16,4,262080|155064|90936|52920|30600|17610|10110|5810|3360,12|13|12|15|12|13|12|15|18
8,4|3|3|3|1|1|1,0,0|4,2,8,10,2,240240|138138|79332|45531|26118|14970|8570|4900|2800,8|9|10|9|8|13|12|17|16
8,4|3|3|2|2|2,0,0|2,2,6,8,2,200200|115115|66275|38170|21978|12645|7265|4165|2380,6|7|6|11|8|11|10|13|12
8,4|3|3|1|1|1|1|1|1,0,0|2,2,8,10,2,112112|70070|43274|26446|16016|9623|5739|3395|1988,8|9|8|11|14|11|10|13|12
8,4|3|2|2|2|1|1|1,1,5|7,2,19,20,1,266240|163072|99328|60160|36224|21680|12896|7624|4480,24|23|26|25|20|19|20|19|22
8,4|2|2|2|2|2|2,0,0|4,2,10,12,2,32032|20020|12496|7774|4812|2958|1802|1085|644,10|11|14|11|10|13|12|13|12
8,4|2|2|2|1|1|1|1|1|1,0,0|4,2,8,10,2,43120|29106|19404|12775|8302|5320|3356|2079|1260,8|9|10|9|8|17|14|13|12
8,4|2|2|1|1|1|1|1|1|1|1,0,0|4,2,8,10,2,16848|11934|8316|5697|3834|2532|1638|1035|636,8|9|10|9|8|15|12|13|12
8,3|3|3|3|2|2,0,0|2,2,6,8,2,51480|30459|18117|10827|6498|3915|2367|1436|876,6|7|6|9|8|11|10|17|12
8,3|3|3|2|2|1|1|1,0,0|4,2,8,10,2,112112|70070|43736|27279|17010|10608|6618|4130|2576,8|9|12|9|8|19|12|15|16
8,3|3|3|1|1|1|1|1|1|1,0,0|2,2,8,10,2,21840|14742|9846|6516|4280|2795|1817|1176|756,8|9|8|13|12|11|10|19|12
8,3|3|2|2|2|2|1|1,0,0|4,2,10,12,2,68640|44044|28248|18102|11588|7410|4734|3023|1932,10|11|12|11|10|13|12|13|12
8,3|3|2|2|2|1|1|1|1,0,0|4,2,8,10,2,65520|43134|28272|18459|12010|7790|5040|3255|2100,8|9|14|9|8|13|18|13|12
8,3|3|1|1|1|1|1|1|1|1|1|1,0,0|4,2,8,10,2,2640|2002|1496|1101|798|570|402|281|196,8|9|12|9|8|13|12|13|12
8,3|2|2|2|1|1|1|1|1|1|1,1,3|5,2,15,16,1,10752|7840|5664|4056|2880|2028|1416|980|672,18|17|16|15|18|15|16|17|18
8,2|2|2|2|2|2|2|1|1,0,0|2,2,6,8,2,3432|2431|1727|1230|878|628|450|323|232,6|7|6|11|8|15|12|13|14
8,2|2|2|2|2|2|1|1|1|1,0,0|2,2,6,8,2,3640|2639|1913|1387|1006|730|530|385|280,6|7|6|9|8|13|12|13|14
8,2|2|2|1|1|1|1|1|1|1|1|1|1,0,0|2,2,6,8,2,440|363|297|241|194|155|123|97|76,6|7|6|9|8|11|10|13|12
8,2|2|1|1|1|1|1|1|1|1|1|1|1|1,0,0|2,2,6,8,2,104|91|79|68|58|49|41|34|28,6|7|6|13|8|11|10|15|12
9,16|1|1,0,0|2,2,6,7,1,136|16|1|0|0|0|0|0|0|0,6|9|6|inf|inf|inf|inf|inf|inf|inf
9,15|1|1|1,0,0|2,2,6,7,1,680|120|15|1|0|0|0|0|0|0,6|7|6|7|inf|inf|inf|inf|inf|inf
9,13|2|1|1|1,1,3|5,2,11,13,2,24192|6720|1624|324|48|4|0|0|0|0,14|13|12|11|14|11|inf|inf|inf|inf
9,12|5|1,0,0|2,2,8,9,1,53040|14560|3822|944|212|40|5|0|0|0,8|11|8|15|10|13|10|inf|inf|inf
9,12|4|2,0,0|2,2,6,7,1,99144|28512|7749|1944|432|78|9|0|0|0,6|11|6|13|14|9|10|inf|inf|inf
9,12|4|1|1,0,0|2,2,6,7,1,111384|32760|9009|2271|504|90|10|0|0|0,6|7|6|7|12|9|12|inf|inf|inf
9,12|2|2|2,0,0|2,2,6,7,1,58344|18304|5291|1364|298|50|5|0|0|0,6|15|6|11|8|9|10|inf|inf|inf
9,12|1|1|1|1|1|1,0,0|2,2,6,7,1,12376|4368|1365|364|78|12|1|0|0|0,6|9|6|11|8|11|10|inf|inf|inf
9,11|5|2,0,0|2,2,6,7,1,219912|68992|21021|6160|1708|434|94|14|0|0,6|15|6|15|10|9|12|13|inf|inf
9,11|5|1|1,0,0|2,2,6,7,1,238680|76440|23569|6951|1932|490|105|15|0|0,6|7|6|7|10|9|10|11|inf|inf
9,11|4|2|1,0,0|2,2,8,9,1,583440|194480|62062|18722|5228|1300|265|35|0|0,8|9|8|9|10|11|10|11|inf|inf
9,11|4|1|1|1,1,3|7,2,15,17,2,339456|116480|37856|11536|3232|800|160|20|0|0,18|17|16|15|16|17|20|15|inf|inf
9,11|3|2|2,0,0|2,2,6,7,1,363528|125928|41481|12771|3582|876|171|21|0|0,6|7|6|7|8|11|10|11|inf|inf
9,11|1|1|1|1|1|1|1,0,0|2,2,6,7,1,19448|8008|3003|1001|286|66|11|1|0|0,6|7|6|7|8|9|10|11|inf|inf
9,10|4|2|2,0,0|2,2,6,7,1,1099560|409640|148225|51667|17150|5320|1490|350|56|0,6|7|6|7|8|13|12|13|14|inf
9,10|3|3|1|1,0,0|2|4|6,4,12,16,4,1145664|441792|164424|58536|19656|6088|1674|378|56|0,12|13|12|13|12|13|12|13|14|inf
9,10|3|2|1|1|1,1,5|7,2,17,21,4,1357824|545792|209664|76288|25920|8032|2176|472|64|0,22|21|22|25|18|17|24|17|20|inf
9,9|6|3,1,3|5|7|9,4,17,22,5,678912|246272|89024|32032|11456|4064|1424|488|160|48,20|19|18|17|18|17|18|17|18|17
9,9|6|1|1|1,1,3|5,2,11,13,2,837760|320320|120120|44308|16112|5780|2040|700|224|56,14|13|12|11|14|11|16|15|18|15
9,9|5|2|2,0,0|2,2,6,7,1,1989000|780000|301275|114300|42450|15350|5350|1760|520|120,6|11|6|11|8|9|12|21|14|15
9,9|4|3|1|1,1,3|5,2,13,15,2,3877632|1584000|634128|247896|94080|34344|11880|3792|1056|216,16|15|14|13|20|13|16|19|18|15
9,9|3|3|2|1,1,3|5,2,13,15,2,3198720|1348480|555856|222712|86016|31640|10880|3388|896|168,16|15|14|13|30|13|24|15|22|15
9,9|3|3|1|1|1,0,0|2|4|6,4,12,16,4,2333760|1006720|422136|171248|66696|24640|8470|2620|680|120,12|15|12|15|12|19|12|15|14|15
9,9|2|2|2|1|1|1,1,3|7,2,15,17,2,1018368|469248|208416|88560|35616|13344|4544|1348|320|48,18|17|16|15|16|17|22|15|20|17
9,9|2|1|1|1|1|1|1|1,1,3|5,2,13,15,2,183040|91520|43472|19448|8096|3080|1040|296|64|8,16|15|14|13|16|13|18|17|20|15
9,8|8|2,0,0|2,2,6,7,1,136136|48048|17017|6072|2196|812|311|126|56|28,6|9|6|13|10|11|10|13|14|13
9,8|8|1|1,0,0|2,2,6,7,1,143208|51480|18447|6633|2412|896|345|141|64|36,6|7|6|7|10|21|10|11|20|13
9,8|6|2|2,0,0|2,2,6,7,1,2148120|870480|350415|140184|55800|22140|8775|3480|1380|540,6|9|6|13|12|11|10|17|12|13
9,8|5|5,0,0|2,2,6,7,1,408408|160160|63063|24904|9844|3882|1520|588|224|84,6|11|6|13|10|9|18|15|18|13
9,8|5|3|2,0,0|2,2,6,7,1,5012280|2096640|871689|359676|147042|59430|23670|9240|3500|1260,6|19|6|11|8|9|12|17|12|13
9,8|5|2|2|1,0,0|2,2,6,7,1,6126120|2642640|1126125|473616|196404|80200|32165|12600|4760|1680,6|9|6|15|10|13|10|17|14|17
9,8|5|2|1|1|1,1,5|9,2,19,21,2,5361664|2365440|1025024|436480|182656|75072|30240|11872|4480|1568,24|23|26|23|20|19|20|21|22|19
9,8|5|1|1|1|1|1,0,0|2,2,6,7,1,1575288|720720|321321|139788|59418|24692|10020|3948|1484|504,6|9|6|11|8|11|14|15|12|15
9,8|4|4|2,0,0|2,2,6,7,1,3007368|1277640|539721|226179|93726|38232|15255|5901|2184|756,6|7|6|7|8|13|10|11|14|13
9,8|4|3|3,0,0|2,2,8,9,1,2598960|1121120|480298|203728|85232|35000|14015|5418|1988|672,8|11|8|15|14|13|10|13|12|19
9,8|4|2|2|2,0,0|2,2,8,9,1,3978000|1794000|797550|348450|149100|62200|25125|9715|3520|1140,8|9|8|9|10|13|10|11|20|13
