n,lambda,Re,Im,v_pi,v2_f,core,quotient_ordered,v_pi_core,v2_f_core,residual
20,3.3.3.3.3.2.1.1.1,-129888,-128736,11,7,3.2.1.1.1,|1||2,9,6,1
20,3.3.3.3.3.2.2.1,-111510,-92700,2,1,,1.1|1|1.1|,0,0,1
20,3.3.3.3.3.3.1.1,-60672,-42144,10,4,3.3.1.1,2|||1,8,3,1
20,3.3.3.3.3.3.2,-37230,-22560,2,1,,1|1.1|1.1|,0,0,1
20,4.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,321,240,0,0,,|||1.1.1.1.1,0,0,0
20,4.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1,3195,0,0,0,,1.1.1.1|||1,0,0,0
20,4.2.2.1.1.1.1.1.1.1.1.1.1.1.1,11008,-6048,10,4,4.2.2,|1.1.1||,8,3,1
20,4.2.2.2.1.1.1.1.1.1.1.1.1.1,21120,-25440,10,4,4.2.2,||1.1.1|,8,3,1
20,4.2.2.2.2.1.1.1.1.1.1.1.1,25605,-59760,0,0,,1|||1.1.1.1,0,0,0
20,4.2.2.2.2.2.1.1.1.1.1.1,18102,-96432,2,1,,1.1.1|||1.1,0,0,1
20,4.2.2.2.2.2.2.1.1.1.1,3200,-113120,10,4,4.2.2,|1.1|1|,8,3,1
20,4.2.2.2.2.2.2.2.1.1,-6912,-92448,10,4,4.2.2,|1|1.1|,8,3,1
20,4.2.2.2.2.2.2.2.2,-4470,-35760,2,1,,1.1|||1.1.1,0,0,1
20,4.3.1.1.1.1.1.1.1.1.1.1.1.1.1,8925,-7000,0,0,,|1.1.1.1||1,0,0,0
20,4.3.2.1.1.1.1.1.1.1.1.1.1.1,24192,-51072,15,10,4.3.2.1.1.1,||1.1|,13,9,1
20,4.3.2.2.1.1.1.1.1.1.1.1.1,15525,-157050,0,0,,|1||1.1.1.1,0,0,0
20,4.3.2.2.2.1.1.1.1.1.1.1,-49152,-304128,20,12,4.3.2.2.2.1.1.1,1|||,20,12,0
20,4.3.2.2.2.2.1.1.1.1.1,-152850,-414900,2,1,,|1.1.1||1.1,0,0,1
20,4.3.2.2.2.2.2.1.1.1,-214400,-406400,15,10,4.3.2.1.1.1,||2|,13,9,1
20,4.3.2.2.2.2.2.2.1,-159138,-251832,2,1,,|1.1||1.1.1,0,0,1
20,4.3.3.1.1.1.1.1.1.1.1.1.1,-7200,-95760,8,1,2.2,|||2.1.1,inf,1,
20,4.3.3.2.1.1.1.1.1.1.1.1,-126420,-309960,4,2,,1.1.1|1||1,0,0,2
20,4.3.3.2.2.1.1.1.1.1.1,-392220,-551880,4,2,,1|1.1.1||1,0,0,2
20,4.3.3.2.2.2.1.1.1.1,-655200,-655200,11,2,2.2,||1.1|2,inf,1,
20,4.3.3.2.2.2.2.1.1,-652480,-524800,12,4,2.2,||1|2.1,inf,1,
20,4.3.3.2.2.2.2.2,-276570,-199080,2,1,,1.1|1.1||1,0,0,1
20,4.3.3.3.1.1.1.1.1.1.1,-234240,-250560,12,5,4.2.2,|2.1||,8,3,2
20,4.3.3.3.2.1.1.1.1.1,-684288,-481536,17,11,4.3.2.1.1.1,1||1|,13,9,2
20,4.3.3.3.2.2.1.1.1,-991872,-501984,10,2,2.2,|||2.2,inf,1,
20,4.3.3.3.2.2.2.1,-752000,-304000,15,10,4.3.2.1.1.1,1.1|||,13,9,1
20,4.3.3.3.3.1.1.1.1,-499860,-196680,4,2,,1|1||1.1.1,0,0,2
20,4.3.3.3.3.2.1.1,-744450,-191100,2,1,,1.1|1||1.1,0,0,1
20,4.3.3.3.3.2.2,-359040,-69600,10,4,4.2.2,|2|1|,8,3,1
20,4.3.3.3.3.3.1,-233658,-25416,2,1,,1|1.1||1.1,0,0,1
20,4.4.1.1.1.1.1.1.1.1.1.1.1.1,4515,-19320,0,0,,||1.1.1.1|1,0,0,0
20,4.4.2.1.1.1.1.1.1.1.1.1.1,-20517,-102858,0,0,,||1|1.1.1.1,0,0,0
20,4.4.2.2.1.1.1.1.1.1.1.1,-142848,-254592,14,5,4.4.2.2,1.1|||,12,4,1
20,4.4.2.2.2.1.1.1.1.1.1,-368640,-401280,14,5,4.4.2.2,|1.1||,12,4,1
20,4.4.2.2.2.2.1.1.1.1,-567150,-441300,2,1,,||1.1.1|1.1,0,0,1
20,4.4.2.2.2.2.2.1.1,-542430,-335160,2,1,,||1.1|1.1.1,0,0,1
20,4.4.2.2.2.2.2.2,-225792,-123648,16,6,4.4.2.2,1|1||,12,4,2
20,4.4.3.1.1.1.1.1.1.1.1.1,-138540,-172200,4,2,,1.1.1||1|1,0,0,2
20,4.4.3.2.1.1.1.1.1.1.1,-622080,-433920,16,9,3.2.2.2.1.1.1,|1||1,12,7,2
20,4.4.3.2.2.1.1.1.1.1,-1324260,-567720,4,2,,1||1.1.1|1,0,0,2
20,4.4.3.2.2.2.1.1.1,-1693920,-457440,11,7,3.2.1.1.1,|||3,9,6,1
20,4.4.3.2.2.2.2.1,-1215270,-222600,2,1,,1.1||1.1|1,0,0,1
20,4.4.3.3.1.1.1.1.1.1,-763392,-216384,12,5,4.2.2,||2.1|,8,3,2
20,4.4.3.3.2.1.1.1.1,-1761900,-172200,4,2,,1||1|1.1.1,0,0,2
20,4.4.3.3.2.2.1.1,-1982718,39204,2,1,,1.1||1|1.1,0,0,1
20,4.4.3.3.2.2.2,-878080,68320,10,4,4.2.2,|1|2|,8,3,1
20,4.4.3.3.3.1.1.1,-1021440,113280,14,5,4.4.2.2,2|||,12,4,1
20,4.4.3.3.3.2.1,-1089792,226176,14,8,3.2.2.2.1.1.1,|||1.1,12,7,1
20,4.4.3.3.3.3,-191430,62040,2,1,,1||1.1|1.1,0,0,1
20,4.4.4.1.1.1.1.1.1.1.1,-184620,-72960,4,2,,|1.1.1|1|1,0,0,2
20,4.4.4.2.1.1.1.1.1.1,-690900,-84000,4,2,,|1|1.1.1|1,0,0,2
20,4.4.4.2.2.1.1.1.1,-1240320,68160,12,5,3.3.1.1,|||2.1,8,3,2
20,4.4.4.2.2.2.1.1,-1276800,218400,10,4,3.3.1.1,1|||2,8,3,1
20,4.4.4.2.2.2.2,-546770,125440,2,1,,|1.1|1.1|1,0,0,1
20,4.4.4.3.1.1.1.1.1,-848988,154224,4,2,,|1|1|1.1.1,0,0,2
20,4.4.4.3.2.1.1.1,-1646592,562176,20,12,4.3.2.2.2.1.1.1,||1|,20,12,0
20,4.4.4.3.2.2.1,-1376970,611940,2,1,,|1.1|1|1.1,0,0,1
20,4.4.4.3.3.1.1,-795648,438144,14,5,4.4.2.2,|2||,12,4,1
20,4.4.4.3.3.2,-487350,310500,2,1,,|1|1.1|1.1,0,0,1
20,4.4.4.4.1.1.1.1,-337260,196560,4,2,,1.1|1|1|1,0,0,2
20,4.4.4.4.2.1.1,-562860,425160,4,2,,1|1.1|1|1,0,0,2
20,4.4.4.4.2.2,-282720,241440,11,2,2.2,||2|2,inf,1,
20,4.4.4.4.3.1,-247380,247080,4,2,,1|1|1.1|1,0,0,2
20,4.4.4.4.4,-21780,30192,4,2,,1|1|1|1.1,0,0,2
20,5.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,1284,-240,4,2,,2.1.1.1|||,0,0,2
20,5.2.1.1.1.1.1.1.1.1.1.1.1.1.1,7392,-7392,11,7,5.2.1,|1.1.1||,9,6,1
20,5.2.2.1.1.1.1.1.1.1.1.1.1.1,12800,-38400,19,5,5.2.2.1.1.1,||1.1|,15,4,3
20,5.2.2.2.1.1.1.1.1.1.1.1.1,-2400,-103200,11,7,5.2.1,|||1.1.1,9,6,1
20,5.2.2.2.2.1.1.1.1.1.1.1,-54075,-184800,0,0,,2.2.1|||,0,0,0
20,5.2.2.2.2.2.1.1.1.1.1,-123872,-239008,11,7,5.2.1,|1.1||1,9,6,1
20,5.2.2.2.2.2.2.1.1.1,-158208,-225792,19,5,5.2.2.1.1.1,||2|,15,4,3
20,5.2.2.2.2.2.2.2.1,-112800,-136800,11,7,5.2.1,|1||1.1,9,6,1
20,5.3.1.1.1.1.1.1.1.1.1.1.1.1,6048,-38528,10,3,2.2,1||1.1.1|,inf,1,
20,5.3.2.1.1.1.1.1.1.1.1.1.1,-50880,-183360,13,3,2.2,1|||1.1.1,inf,1,
20,5.3.2.2.1.1.1.1.1.1.1.1,-281745,-425790,0,0,,2.1.1|1||,0,0,0
20,5.3.2.2.2.1.1.1.1.1.1,-681618,-639492,2,1,,2|1.1.1||,0,0,1
20,5.3.2.2.2.2.1.1.1.1,-1014400,-673600,12,3,2.2,1||1.1|1,inf,1,
20,5.3.2.2.2.2.2.1.1,-952992,-494208,10,3,2.2,1||1|1.1,inf,1,
20,5.3.2.2.2.2.2.2,-393540,-178080,4,2,,2.1|1.1||,0,0,2
20,5.3.3.1.1.1.1.1.1.1.1.1,-218400,-233520,8,1,2.2,1.1.1.1|||,inf,1,
20,5.3.3.2.1.1.1.1.1.1.1,-911040,-540480,13,8,5.2.1,|2.1||,9,6,2
20,5.3.3.2.2.1.1.1.1.1,-1868832,-640224,11,2,2.2,1.1||1.1|,inf,1,
20,5.3.3.2.2.2.1.1.1,-2336768,-444416,23,11,5.3.3.2.2.2.1.1.1,|||,23,11,0
20,5.3.3.2.2.2.2.1,-1656480,-174720,10,3,2.2,1.1.1||1|,inf,1,
20,5.3.3.3.1.1.1.1.1.1,-1006080,-207360,19,6,5.2.2.1.1.1,|1|1|,15,4,2
20,5.3.3.3.2.1.1.1.1,-2251200,-50400,10,2,2.2,1.1|||1.1,inf,1,
20,5.3.3.3.2.2.1.1,-2484160,239680,13,3,2.2,1.1.1|||1,inf,1,
20,5.3.3.3.2.2.2,-1090560,168960,21,5,5.2.2.1.1.1,|1.1||,15,4,5
20,5.3.3.3.3.1.1.1,-1243050,236100,2,1,,2.2|1||,0,0,1
20,5.3.3.3.3.2.1,-1302240,378720,11,7,5.2.1,|2||1,9,6,1
20,5.3.3.3.3.3,-222432,92736,10,3,2.2,1.1||1|1,inf,1,
20,5.4.1.1.1.1.1.1.1.1.1.1.1,-39648,-74592,11,7,3.2.1.1.1,1|||1.1,9,6,1
20,5.4.2.1.1.1.1.1.1.1.1.1,-334575,-276750,0,0,,2.1.1||1|,0,0,0
20,5.4.2.2.1.1.1.1.1.1.1,-1055232,-453888,16,9,3.2.2.2.1.1.1,1|1||,12,7,2
20,5.4.2.2.2.1.1.1.1.1,-1939950,-394500,2,1,,2||1.1.1|,0,0,1
20,5.4.2.2.2.2.1.1.1,-2296800,-136800,11,7,3.2.1.1.1,1|||2,9,6,1
20,5.4.2.2.2.2.2.1,-1584828,36288,4,2,,2.1||1.1|,0,0,2
20,5.4.3.1.1.1.1.1.1.1.1,-870240,-218400,11,7,5.2.1,|1.1|1|,9,6,1
20,5.4.3.2.1.1.1.1.1.1,-2885088,27744,11,7,5.2.1,||1.1.1|,9,6,1
20,5.4.3.2.2.1.1.1.1,-4855200,924000,11,7,3.2.1.1.1,1.1|||1,9,6,1
20,5.4.3.2.2.2.1.1,-4812192,1507296,11,7,3.2.1.1.1,1.1.1|||,9,6,1
20,5.4.3.2.2.2.2,-2026080,762720,11,7,5.2.1,|1|1.1|,9,6,1
20,5.4.3.3.1.1.1.1.1,-2671200,856800,11,7,5.2.1,||1|1.1,9,6,1
20,5.4.3.3.2.1.1.1,-4862550,2429700,2,1,,2.2||1|,0,0,1
20,5.4.3.3.2.2.1,-3924800,2427200,13,8,5.2.1,|1|1|1,9,6,2
20,5.4.3.3.3.1.1,-2092800,1564800,14,8,3.2.2.2.1.1.1,1.1|||,12,7,1
20,5.4.3.3.3.2,-1241568,1060704,11,7,5.2.1,||1.1|1,9,6,1
20,5.4.4.1.1.1.1.1.1.1,-797760,193920,12,4,2.2,1||2.1|,inf,1,
20,5.4.4.2.1.1.1.1.1,-2365632,1187136,13,8,3.2.1.1.1,1|1||1,9,6,2
20,5.4.4.2.2.1.1.1,-3362688,2376864,10,4,3.3.1.1,3|||,8,3,1
20,5.4.4.2.2.2.1,-2494240,2115680,11,7,3.2.1.1.1,1|1.1||,9,6,1
20,5.4.4.3.1.1.1.1,-2207160,1990080,6,3,,2.1|1|1|,0,0,3
20,5.4.4.3.2.1.1,-3218250,3714900,2,1,,2|1.1|1|,0,0,1
20,5.4.4.3.2.2,-1520640,1990080,12,3,2.2,1||2|1,inf,1,
20,5.4.4.3.3.1,-1029942,1607796,2,1,,2|1|1.1|,0,0,1
20,5.4.4.4.1.1.1,-597600,1037280,11,7,5.2.1,|2|1|,9,6,1
20,5.4.4.4.2.1,-661920,1441440,11,2,2.2,1.1||2|,inf,1,
20,5.4.4.4.3,-140640,418848,11,7,3.2.1.1.1,1.1|1||,9,6,1
20,5.5.1.1.1.1.1.1.1.1.1.1,-90447,-41328,0,0,,2.1.1|||1,0,0,0
20,5.5.2.1.1.1.1.1.1.1.1,-503808,-36192,10,4,4.2.2,1|1.1||,8,3,1
20,5.5.2.2.1.1.1.1.1.1,-1248000,232800,10,4,4.2.2,1||1.1|,8,3,1
20,5.5.2.2.2.1.1.1.1,-1860150,708000,2,1,,2|||1.1.1,0,0,1
20,5.5.2.2.2.2.1.1,-1732500,898800,4,2,,2.1|||1.1,0,0,2
20,5.5.2.2.2.2.2,-709632,420672,12,5,4.2.2,1|1|1|,8,3,2
20,5.5.3.1.1.1.1.1.1.1,-1009152,354816,19,6,5.2.2.1.1.1,||1|1,15,4,2
20,5.5.3.2.1.1.1.1.1,-2704320,1717440,13,8,5.2.1,|||2.1,9,6,2
20,5.5.3.2.2.1.1.1,-3629430,3170160,2,1,,2.2|||1,0,0,1
20,5.5.3.2.2.2.1,-2606688,2719584,11,7,5.2.1,|1||2,9,6,1
20,5.5.3.3.1.1.1.1,-1939200,2143200,10,4,4.2.2,1.1.1|||,8,3,1
20,5.5.3.3.2.1.1,-2649600,3794400,10,4,4.2.2,1.1|1||,8,3,1
20,5.5.3.3.2.2,-1211392,1985536,21,5,5.2.2.1.1.1,|||1.1,15,4,5
20,5.5.3.3.3.1,-746880,1500960,10,4,4.2.2,1.1||1|,8,3,1
20,5.5.4.1.1.1.1.1.1,-822528,827904,16,4,2.2,1|||2.1,inf,1,
20,5.5.4.2.1.1.1.1,-1877400,2847600,6,3,,2.1|1||1,0,0,3
20,5.5.4.2.2.1.1,-1953882,3950856,2,1,,2|1.1||1,0,0,1
20,5.5.4.2.2.2,-812000,1926400,10,3,2.2,1||1|2,inf,1,
20,5.5.4.3.1.1.1,-1155840,3215520,10,4,4.2.2,1|2||,8,3,1
20,5.5.4.3.2.1,-1035648,4059264,15,10,4.3.2.1.1.1,2|||,13,9,1
20,5.5.4.3.3,-127650,923700,2,1,,2|1||1.1,0,0,1
20,5.5.4.4.1.1,-76800,1213440,21,6,5.2.2.1.1.1,|1||1,15,4,4
20,5.5.4.4.2,0,901152,10,2,2.2,1.1|||2,inf,1,
20,5.5.5.1.1.1.1.1,-176232,554736,6,3,,2.1||1|1,0,0,3
20,5.5.5.2.1.1.1,-204288,1499904,16,9,3.2.2.2.1.1.1,1|||1,12,7,2
20,5.5.5.2.2.1,-59430,1479240,2,1,,2||1.1|1,0,0,1
20,5.5.5.3.1.1,96768,1332576,10,4,4.2.2,1||2|,8,3,1
20,5.5.5.3.2,127650,923700,2,1,,2||1|1.1,0,0,1
20,5.5.5.4.1,140640,418848,11,7,5.2.1,||1|2,9,6,1
20,5.5.5.5,21780,30192,4,2,,2|1|1|1,0,0,2
20,6.1.1.1.1.1.1.1.1.1.1.1.1.1.1,1764,-2808,4,2,,|2.1.1.1||,0,0,2
20,6.2.1.1.1.1.1.1.1.1.1.1.1.1,0,-25920,12,3,2.2,|1|1.1.1|,inf,1,
20,6.2.2.1.1.1.1.1.1.1.1.1.1,-40160,-88320,10,3,2.2,|1||1.1.1,inf,1,
20,6.2.2.2.1.1.1.1.1.1.1.1,-159390,-173880,2,1,,1.1.1|2||,0,0,1
20,6.2.2.2.2.1.1.1.1.1.1,-340375,-229880,0,0,,1|2.1.1||,0,0,0
20,6.2.2.2.2.2.1.1.1.1,-473760,-215040,10,3,2.2,|1|1.1|1,inf,1,
20,6.2.2.2.2.2.2.1.1,-429120,-141120,13,3,2.2,|1|1|1.1,inf,1,
20,6.2.2.2.2.2.2.2,-174180,-47160,4,2,,1.1|2.1||,0,0,2
20,6.3.1.1.1.1.1.1.1.1.1.1.1,-53760,-79360,19,5,6.3.1.1.1,|||1.1,15,4,3
20,6.3.2.1.1.1.1.1.1.1.1.1,-374400,-247680,15,10,6.3.2.1,1.1|||,13,9,1
20,6.3.2.2.1.1.1.1.1.1.1,-1085805,-335790,0,0,,|2.2.1||,0,0,0
20,6.3.2.2.2.1.1.1.1.1,-1904000,-178304,15,10,6.3.2.1,||1.1|,13,9,1
20,6.3.2.2.2.2.1.1.1,-2188800,105984,19,5,6.3.1.1.1,|||2,15,4,3
20,6.3.2.2.2.2.2.1,-1486080,195840,17,11,6.3.2.1,1||1|,13,9,2
20,6.3.3.1.1.1.1.1.1.1.1,-715200,-99600,8,1,2.2,|1.1.1.1||,inf,1,
20,6.3.3.2.1.1.1.1.1.1,-2210880,258720,10,2,2.2,|1.1|1.1|,inf,1,
20,6.3.3.2.2.1.1.1.1,-3566080,1088000,19,6,6.3.1.1.1,1|||1,15,4,2
20,6.3.3.2.2.2.1.1,-3440640,1505280,22,5,6.3.1.1.1,1.1|||,15,4,6
20,6.3.3.2.2.2.2,-1430400,724800,12,3,2.2,|1.1.1|1|,inf,1,
20,6.3.3.3.1.1.1.1.1,-1812960,802080,11,2,2.2,|1.1||1.1,inf,1,
20,6.3.3.3.2.1.1.1,-3163520,2034560,15,10,6.3.2.1,2|||,13,9,1
20,6.3.3.3.2.2.1,-2487840,1943040,10,3,2.2,|1.1.1||1,inf,1,
20,6.3.3.3.3.1.1,-1271130,1189440,2,1,,1|2.2||,0,0,1
20,6.3.3.3.3.2,-735840,786240,10,3,2.2,|1.1|1|1,inf,1,
20,6.4.1.1.1.1.1.1.1.1.1.1,-201600,-76320,10,4,3.3.1.1,1.1|1||,8,3,1
20,6.4.2.1.1.1.1.1.1.1.1,-1053945,-5130,0,0,,|2.1.1|1|,0,0,0
20,6.4.2.2.1.1.1.1.1.1,-2514330,644364,2,1,,|2|1.1.1|,0,0,1
20,6.4.2.2.2.1.1.1.1,-3657600,1677600,10,4,3.3.1.1,|1||1.1,8,3,1
20,6.4.2.2.2.2.1.1,-3352320,2033856,12,5,3.3.1.1,1|1||1,8,3,2
20,6.4.2.2.2.2.2,-1362060,934920,4,2,,|2.1|1.1|,0,0,2
20,6.4.3.1.1.1.1.1.1.1,-1895040,814080,14,4,2.2,|1|2.1|,inf,1,
20,6.4.3.2.1.1.1.1.1,-4885920,3581280,11,7,3.2.1.1.1,|2||1,9,6,1
20,6.4.3.2.2.1.1.1,-6384000,6373920,10,4,3.3.1.1,2|1||,8,3,1
20,6.4.3.2.2.2.1,-4503360,5376960,13,8,3.2.1.1.1,|2.1||,9,6,2
20,6.4.3.3.1.1.1.1,-3275370,4135860,2,1,,1.1|2|1|,0,0,1
20,6.4.3.3.2.1.1,-4331800,7165600,6,3,,1|2.1|1|,0,0,3
20,6.4.3.3.2.2,-1939680,3715200,10,3,2.2,|1|2|1,inf,1,
20,6.4.3.3.3.1,-1152270,2756880,2,1,,1|2|1.1|,0,0,1
20,6.4.4.1.1.1.1.1.1,-1175040,1359360,19,6,6.3.1.1.1,||1|1,15,4,2
20,6.4.4.2.1.1.1.1,-2540160,4485600,10,4,3.3.1.1,1|1.1||,8,3,1
20,6.4.4.2.2.1.1,-2522240,6102880,10,4,3.3.1.1,|1.1.1||,8,3,1
20,6.4.4.2.2.2,-1013760,2949120,22,5,6.3.1.1.1,||1.1|,15,4,6
20,6.4.4.3.1.1.1,-1376550,4796820,2,1,,|2.2|1|,0,0,1
20,6.4.4.3.2.1,-1111680,5973120,15,10,6.3.2.1,||2|,13,9,1
20,6.4.4.3.3,-96768,1332576,10,4,3.3.1.1,|1.1||1,8,3,1
20,6.4.4.4.1.1,0,1648800,10,2,2.2,|1.1|2|,inf,1,
20,6.4.4.4.2,76800,1213440,21,6,6.3.1.1.1,1||1|,15,4,4
20,6.5.1.1.1.1.1.1.1.1.1,-299145,80520,0,0,,|2.1.1||1,0,0,0
20,6.5.2.1.1.1.1.1.1.1,-1232640,819456,17,11,4.3.2.1.1.1,|1|1|,13,9,2
20,6.5.2.2.1.1.1.1.1,-2336130,2473560,2,1,,|2||1.1.1,0,0,1
20,6.5.2.2.2.1.1.1,-2641920,3824640,20,12,4.3.2.2.2.1.1.1,|1||,20,12,0
20,6.5.2.2.2.2.1,-1720740,3032904,4,2,,|2.1||1.1,0,0,2
20,6.5.3.1.1.1.1.1.1,-1673280,2401920,12,4,2.2,|1||2.1,inf,1,
20,6.5.3.2.1.1.1.1,-3109050,7161000,2,1,,1.1|2||1,0,0,1
20,6.5.3.2.2.1.1,-2719800,9294480,6,3,,1|2.1||1,0,0,3
20,6.5.3.2.2.2,-1001280,4401600,13,3,2.2,|1|1|2,inf,1,
20,6.5.3.3.1.1.1,-1044480,5991840,10,4,4.2.2,|3||,8,3,1
20,6.5.3.3.2.1,-538880,7166720,17,11,4.3.2.1.1.1,1|1||,13,9,2
20,6.5.3.3.3,59430,1479240,2,1,,1|2||1.1,0,0,1
20,6.5.4.1.1.1.1.1,-564480,2929920,17,11,6.3.2.1,1|||1,13,9,2
20,6.5.4.2.1.1.1,-153510,7469280,2,1,,|2.2||1,0,0,1
20,6.5.4.2.2.1,538880,7166720,17,11,6.3.2.1,||1|1,13,9,2
20,6.5.4.3.1.1,1111680,5973120,15,10,4.3.2.1.1.1,|1.1||,13,9,1
20,6.5.4.3.2,1035648,4059264,15,10,6.3.2.1,|||1.1,13,9,1
20,6.5.4.4.1,661920,1441440,11,2,2.2,|1.1||2,inf,1,
20,6.5.5.1.1.1.1,358680,1380960,6,3,,|2.1|1|1,0,0,3
20,6.5.5.2.1.1,1152270,2756880,2,1,,|2|1.1|1,0,0,1
20,6.5.5.2.2,746880,1500960,10,4,3.3.1.1,|1||2,8,3,1
20,6.5.5.3.1,1029942,1607796,2,1,,|2|1|1.1,0,0,1
20,6.5.5.4,247380,247080,4,2,,1|2|1|1,0,0,2
20,6.6.1.1.1.1.1.1.1.1,-157920,197184,10,3,2.2,1|1|1.1|,inf,1,
20,6.6.2.1.1.1.1.1.1,-424800,1051200,10,3,2.2,1|1||1.1,inf,1,
20,6.6.2.2.1.1.1.1,-432900,2304000,4,2,,2.1|2||,0,0,2
20,6.6.2.2.2.1.1,-161700,2658600,4,2,,2|2.1||,0,0,2
20,6.6.2.2.2.2,0,1201536,14,4,2.2,1|1|1|1,inf,1,
20,6.6.3.1.1.1.1.1,-90720,2103360,10,3,2.2,1.1.1|1||,inf,1,
20,6.6.3.2.1.1.1,613920,4815840,11,7,5.2.1,|3||,9,6,1
20,6.6.3.2.2.1,1001280,4401600,13,3,2.2,1.1|1|1|,inf,1,
20,6.6.3.3.1.1,1013760,2949120,22,5,5.2.2.1.1.1,|2||,15,4,6
20,6.6.3.3.2,812000,1926400,10,3,2.2,1.1|1||1,inf,1,
20,6.6.4.1.1.1.1,688800,1942080,10,3,2.2,1|1.1.1||,inf,1,
20,6.6.4.2.1.1,1939680,3715200,10,3,2.2,1|1.1|1|,inf,1,
20,6.6.4.2.2,1211392,1985536,21,5,6.3.1.1.1,2|||,15,4,5
20,6.6.4.3.1,1520640,1990080,12,3,2.2,1|1.1||1,inf,1,
20,6.6.4.4,282720,241440,11,2,2.2,1.1|1.1||,inf,1,
20,6.6.5.1.1.1,735840,786240,10,3,2.2,1|1|2|,inf,1,
20,6.6.5.2.1,1241568,1060704,11,7,3.2.1.1.1,1|2||,9,6,1
20,6.6.5.3,487350,310500,2,1,,2|2|1|,0,0,1
20,6.6.6.1.1,222432,92736,10,3,2.2,1|1||2,inf,1,
20,6.6.6.2,191430,62040,2,1,,2|2||1,0,0,1
20,7.1.1.1.1.1.1.1.1.1.1.1.1.1,-1764,-6552,4,2,,||2.1.1.1|,0,0,2
20,7.2.1.1.1.1.1.1.1.1.1.1.1,-36000,-36000,11,7,3.2.1.1.1,||1|1.1,9,6,1
20,7.2.2.1.1.1.1.1.1.1.1.1,-167650,-69720,2,1,,1.1.1||2|,0,0,1
20,7.2.2.2.1.1.1.1.1.1.1,-412160,-44800,16,9,3.2.2.2.1.1.1,|1|1|,12,7,2
20,7.2.2.2.2.1.1.1.1.1,-658665,66024,0,0,,1||2.1.1|,0,0,0
20,7.2.2.2.2.2.1.1.1,-715680,176736,11,7,3.2.1.1.1,||1|2,9,6,1
20,7.2.2.2.2.2.2.1,-470940,158760,4,2,,1.1||2.1|,0,0,2
20,7.3.1.1.1.1.1.1.1.1.1.1,-176640,-40160,10,4,3.3.1.1,1.1||1|,8,3,1
20,7.3.2.1.1.1.1.1.1.1.1,-794010,106260,2,1,,|1.1.1|2|,0,0,1
20,7.3.2.2.1.1.1.1.1.1,-1740025,712250,0,0,,|1|2.1.1|,0,0,0
20,7.3.2.2.2.1.1.1.1,-2392320,1528800,10,4,3.3.1.1,||1|1.1,8,3,1
20,7.3.2.2.2.2.1.1,-2112000,1723200,12,5,3.3.1.1,1||1|1,8,3,2
20,7.3.2.2.2.2.2,-842100,770280,4,2,,|1.1|2.1|,0,0,2
20,7.3.3.1.1.1.1.1.1.1,-1031040,624240,8,1,2.2,||3.1|,inf,1,
20,7.3.3.2.1.1.1.1.1,-2425280,2355520,13,8,3.2.1.1.1,|1|1|1,9,6,2
20,7.3.3.2.2.1.1.1,-2960640,3921120,10,4,3.3.1.1,2||1|,8,3,1
20,7.3.3.2.2.2.1,-1994400,3201120,11,7,3.2.1.1.1,|1.1|1|,9,6,1
20,7.3.3.3.1.1.1.1,-1360150,2310100,2,1,,1.1|1|2|,0,0,1
20,7.3.3.3.2.1.1,-1636110,3825360,2,1,,1|1.1|2|,0,0,1
20,7.3.3.3.2.2,-688800,1942080,10,3,2.2,||3|1,inf,1,
20,7.3.3.3.3.1,-358680,1380960,6,3,,1|1|2.1|,0,0,3
20,7.4.1.1.1.1.1.1.1.1.1,-372480,140160,14,8,7.4.1,|1.1||,12,7,1
20,7.4.2.1.1.1.1.1.1.1,-1408365,1147230,0,0,,||2.2.1|,0,0,0
20,7.4.2.2.1.1.1.1.1,-2499840,3217536,14,8,7.4.1,|||1.1,12,7,1
20,7.4.2.2.2.1.1.1,-2672640,4798464,23,8,7.4.2.2.2.1.1.1,|||,23,8,0
20,7.4.2.2.2.2.1,-1666560,3736320,16,9,7.4.1,|1||1,12,7,2
20,7.4.3.1.1.1.1.1.1,-1602720,2859360,11,7,3.2.1.1.1,||1.1|1,9,6,1
20,7.4.3.2.1.1.1.1,-2630400,8127360,14,8,7.4.1,1.1|||,12,7,1
20,7.4.3.2.2.1.1,-1958400,10287360,16,9,7.4.1,1|1||,12,7,2
20,7.4.3.2.2.2,-613920,4815840,11,7,3.2.1.1.1,||1.1.1|,9,6,1
20,7.4.3.3.1.1.1,-492800,6366080,14,8,3.2.2.2.1.1.1,||1.1|,12,7,1
20,7.4.3.3.2.1,153510,7469280,2,1,,1||2.2|,0,0,1
20,7.4.3.3.3,204288,1499904,16,9,7.4.1,1|||1,12,7,2
20,7.4.4.1.1.1.1.1,-236160,2595360,10,4,3.3.1.1,1||1.1|,8,3,1
20,7.4.4.2.1.1.1,492800,6366080,14,8,7.4.1,|2||,12,7,1
20,7.4.4.2.2.1,1044480,5991840,10,4,3.3.1.1,||1.1.1|,8,3,1
20,7.4.4.3.1.1,1376550,4796820,2,1,,|1|2.2|,0,0,1
20,7.4.4.3.2,1155840,3215520,10,4,3.3.1.1,||1.1|1,8,3,1
