n,lam,d,cand,Lzero,Rzero,shift_c,ratio_re,ratio_im
10,3|3|3|1,3,princN5,0,0,,3.0,-5.196152
10,3|3|3|1,3,princN10,0,0,,0.666667,-0.0
10,3|3|3|1,3,fakedeg,0,0,,4.0,-0.0
10,3|3|3|1,4,princN3,0,1,,,
10,3|3|3|1,4,princN4,0,1,,,
10,3|3|3|1,4,princN5,0,0,,-10.0,-20.0
10,3|3|3|1,4,princN10,0,0,,-3.333333,1.666667
10,3|3|3|1,4,fakedeg,0,0,,-5.0,-10.0
10,3|3|2|2,2,princN3,0,1,,,
10,3|3|2|2,2,princN4,0,0,,10.0,-0.0
10,3|3|2|2,2,princN5,0,0,,3.333333,-0.0
10,3|3|2|2,2,princN10,0,0,,0.05,0.0
10,3|3|2|2,2,fakedeg,0,0,0,1.0,-0.0
10,3|3|2|2,3,princN3,0,1,,,
10,3|3|2|2,3,princN4,0,1,,,
10,3|3|2|2,3,princN5,0,1,,,
10,3|3|2|2,3,princN10,0,1,,,
10,3|3|2|2,3,fakedeg,0,1,,,
10,3|3|2|2,4,princN3,0,1,,,
10,3|3|2|2,4,princN4,0,1,,,
10,3|3|2|2,4,princN5,0,1,,,
10,3|3|2|2,4,princN10,0,1,,,
10,3|3|2|2,4,fakedeg,0,1,,,
10,3|3|2|1|1,2,princN3,0,1,,,
10,3|3|2|1|1,2,princN5,0,0,,3.333333,0.0
10,3|3|2|1|1,2,princN6,0,0,,1.666667,0.0
10,3|3|2|1|1,2,princN10,0,0,,0.066667,0.0
10,3|3|2|1|1,2,fakedeg,0,0,0,1.0,0.0
10,3|3|2|1|1,3,princN3,0,1,,,
10,3|3|2|1|1,3,princN5,0,1,,,
10,3|3|2|1|1,3,princN6,0,1,,,
10,3|3|2|1|1,3,princN10,0,1,,,
10,3|3|2|1|1,3,fakedeg,0,1,,,
10,3|3|2|1|1,4,princN3,0,1,,,
10,3|3|2|1|1,4,princN5,0,0,,10.0,80.0
10,3|3|2|1|1,4,princN6,0,0,,40.0,-5.0
10,3|3|2|1|1,4,princN10,0,0,,13.333333,-1.666667
10,3|3|2|1|1,4,fakedeg,0,0,,5.0,40.0
10,3|3|1|1|1|1,2,princN3,0,1,,,
10,3|3|1|1|1|1,2,princN6,0,0,,1.666667,-0.0
10,3|3|1|1|1|1,2,princN7,0,0,,1.25,-0.0
10,3|3|1|1|1|1,2,princN10,0,0,,0.066667,0.0
10,3|3|1|1|1|1,2,fakedeg,0,0,0,1.0,-0.0
10,3|3|1|1|1|1,3,princN3,0,1,,,
10,3|3|1|1|1|1,3,princN6,0,1,,,
10,3|3|1|1|1|1,3,princN7,0,1,,,
10,3|3|1|1|1|1,3,princN10,0,1,,,
10,3|3|1|1|1|1,3,fakedeg,0,1,,,
10,3|3|1|1|1|1,4,princN3,0,1,,,
10,3|3|1|1|1|1,4,princN6,0,0,,-60.0,-5.0
10,3|3|1|1|1|1,4,princN7,0,1,,,
10,3|3|1|1|1|1,4,princN10,0,0,,-20.0,-1.666667
10,3|3|1|1|1|1,4,fakedeg,0,0,,5.0,-60.0
10,3|2|2|2|1,2,princN3,1,1,0,,
10,3|2|2|2|1,2,princN5,1,1,0,,
10,3|2|2|2|1,2,princN6,1,1,0,,
10,3|2|2|2|1,2,princN10,1,1,0,,
10,3|2|2|2|1,2,fakedeg,1,1,0,,
10,3|2|2|2|1,3,princN3,0,1,,,
10,3|2|2|2|1,3,princN5,0,1,,,
10,3|2|2|2|1,3,princN6,0,1,,,
10,3|2|2|2|1,3,princN10,0,1,,,
10,3|2|2|2|1,3,fakedeg,0,1,,,
10,3|2|2|2|1,4,princN3,0,1,,,
10,3|2|2|2|1,4,princN5,0,1,,,
10,3|2|2|2|1,4,princN6,0,1,,,
10,3|2|2|2|1,4,princN10,0,1,,,
10,3|2|2|2|1,4,fakedeg,0,1,,,
10,3|2|2|1|1|1,2,princN3,0,1,,,
10,3|2|2|1|1|1,2,princN6,0,0,,1.666667,-0.0
10,3|2|2|1|1|1,2,princN7,0,0,,1.666667,-0.0
10,3|2|2|1|1|1,2,princN10,0,0,,0.066667,-0.0
10,3|2|2|1|1|1,2,fakedeg,0,0,0,1.0,-0.0
10,3|2|2|1|1|1,3,princN3,0,1,,,
10,3|2|2|1|1|1,3,princN6,0,1,,,
10,3|2|2|1|1|1,3,princN7,0,1,,,
10,3|2|2|1|1|1,3,princN10,0,1,,,
10,3|2|2|1|1|1,3,fakedeg,0,1,,,
10,3|2|2|1|1|1,4,princN3,0,1,,,
10,3|2|2|1|1|1,4,princN6,0,0,,65.0,40.0
10,3|2|2|1|1|1,4,princN7,0,0,,40.0,-65.0
10,3|2|2|1|1|1,4,princN10,0,0,,21.666667,13.333333
10,3|2|2|1|1|1,4,fakedeg,0,0,,65.0,40.0
10,3|2|1|1|1|1|1,2,princN3,1,1,0,,
10,3|2|1|1|1|1|1,2,princN7,1,1,0,,
10,3|2|1|1|1|1|1,2,princN8,1,1,0,,
10,3|2|1|1|1|1|1,2,princN10,1,1,0,,
10,3|2|1|1|1|1|1,2,fakedeg,1,1,0,,
10,3|2|1|1|1|1|1,3,princN3,0,1,,,
10,3|2|1|1|1|1|1,3,princN7,0,0,,-8.0,0.0
10,3|2|1|1|1|1|1,3,princN8,0,0,,-4.0,6.928203
10,3|2|1|1|1|1|1,3,princN10,0,0,,-2.0,-0.0
10,3|2|1|1|1|1|1,3,fakedeg,0,0,,-8.0,0.0
10,3|2|1|1|1|1|1,4,princN3,0,1,,,
10,3|2|1|1|1|1|1,4,princN7,0,1,,,
10,3|2|1|1|1|1|1,4,princN8,0,1,,,
10,3|2|1|1|1|1|1,4,princN10,0,1,,,
10,3|2|1|1|1|1|1,4,fakedeg,0,1,,,
10,3|1|1|1|1|1|1|1,2,princN3,0,1,,,
10,3|1|1|1|1|1|1|1,2,princN8,0,0,0,1.0,-0.0
10,3|1|1|1|1|1|1|1,2,princN9,0,0,0,1.0,-0.0
10,3|1|1|1|1|1|1|1,2,princN10,0,0,,0.166667,-0.0
10,3|1|1|1|1|1|1|1,2,fakedeg,0,0,0,1.0,-0.0
10,3|1|1|1|1|1|1|1,3,princN3,0,1,,,
10,3|1|1|1|1|1|1|1,3,princN8,0,1,,,
10,3|1|1|1|1|1|1|1,3,princN9,0,1,,,
10,3|1|1|1|1|1|1|1,3,princN10,0,1,,,
10,3|1|1|1|1|1|1|1,3,fakedeg,0,1,,,
10,3|1|1|1|1|1|1|1,4,princN3,0,1,,,
10,3|1|1|1|1|1|1|1,4,princN8,0,1,,,
10,3|1|1|1|1|1|1|1,4,princN9,0,1,,,
10,3|1|1|1|1|1|1|1,4,princN10,0,1,,,
10,3|1|1|1|1|1|1|1,4,fakedeg,0,1,,,
10,2|2|2|2|2,2,princN2,0,1,,,
10,2|2|2|2|2,2,princN5,0,0,,10.0,0.0
10,2|2|2|2|2,2,princN6,0,0,,3.333333,0.0
10,2|2|2|2|2,2,princN10,0,0,,0.1,0.0
10,2|2|2|2|2,2,fakedeg,0,0,0,1.0,0.0
10,2|2|2|2|2,3,princN2,0,1,,,
10,2|2|2|2|2,3,princN5,0,0,,-3.0,5.196152
10,2|2|2|2|2,3,princN6,0,1,,,
10,2|2|2|2|2,3,princN10,0,0,,-0.666667,-0.0
10,2|2|2|2|2,3,fakedeg,0,0,,-2.0,0.0
10,2|2|2|2|2,4,princN2,0,1,,,
10,2|2|2|2|2,4,princN5,0,0,,6.0,-4.0
10,2|2|2|2|2,4,princN6,0,0,,-4.0,-6.0
10,2|2|2|2|2,4,princN10,0,0,,-1.0,-1.5
10,2|2|2|2|2,4,fakedeg,0,0,,3.0,-2.0
10,2|2|2|2|1|1,2,princN2,0,1,,,
10,2|2|2|2|1|1,2,princN6,0,0,,3.333333,-0.0
10,2|2|2|2|1|1,2,princN7,0,0,,1.666667,0.0
10,2|2|2|2|1|1,2,princN10,0,0,,0.1,0.0
10,2|2|2|2|1|1,2,fakedeg,0,0,0,1.0,0.0
10,2|2|2|2|1|1,3,princN2,0,1,,,
10,2|2|2|2|1|1,3,princN6,0,1,,,
10,2|2|2|2|1|1,3,princN7,0,1,,,
10,2|2|2|2|1|1,3,princN10,0,1,,,
10,2|2|2|2|1|1,3,fakedeg,0,1,,,
10,2|2|2|2|1|1,4,princN2,0,1,,,
10,2|2|2|2|1|1,4,princN6,0,0,,-10.0,-20.0
10,2|2|2|2|1|1,4,princN7,0,0,,-10.0,5.0
10,2|2|2|2|1|1,4,princN10,0,0,,-2.5,-5.0
10,2|2|2|2|1|1,4,fakedeg,0,0,,-5.0,-10.0
10,2|2|2|1|1|1|1,2,princN2,0,1,,,
10,2|2|2|1|1|1|1,2,princN7,0,0,,1.666667,0.0
10,2|2|2|1|1|1|1,2,princN8,0,0,,1.25,0.0
10,2|2|2|1|1|1|1,2,princN10,0,0,,0.2,0.0
10,2|2|2|1|1|1|1,2,fakedeg,0,0,0,1.0,0.0
10,2|2|2|1|1|1|1,3,princN2,0,1,,,
10,2|2|2|1|1|1|1,3,princN7,0,0,,6.0,-0.0
10,2|2|2|1|1|1|1,3,princN8,0,0,,2.0,-3.464102
10,2|2|2|1|1|1|1,3,princN10,0,0,,1.333333,-0.0
10,2|2|2|1|1|1|1,3,fakedeg,0,0,,4.0,-0.0
10,2|2|2|1|1|1|1,4,princN2,0,1,,,
10,2|2|2|1|1|1|1,4,princN7,0,0,,20.0,-5.0
10,2|2|2|1|1|1|1,4,princN8,0,1,,,
10,2|2|2|1|1|1|1,4,princN10,0,0,,5.0,20.0
10,2|2|2|1|1|1|1,4,fakedeg,0,0,,5.0,20.0
10,2|2|1|1|1|1|1|1,2,princN2,0,1,,,
10,2|2|1|1|1|1|1|1,2,princN8,0,0,,1.25,-0.0
10,2|2|1|1|1|1|1|1,2,princN9,0,0,0,1.0,0.0
10,2|2|1|1|1|1|1|1,2,princN10,0,0,,0.2,0.0
10,2|2|1|1|1|1|1|1,2,fakedeg,0,0,0,1.0,-0.0
10,2|2|1|1|1|1|1|1,3,princN2,0,1,,,
10,2|2|1|1|1|1|1|1,3,princN8,0,0,,-4.0,6.928203
10,2|2|1|1|1|1|1|1,3,princN9,0,1,,,
10,2|2|1|1|1|1|1|1,3,princN10,0,0,,-8.0,-0.0
10,2|2|1|1|1|1|1|1,3,fakedeg,0,0,,-8.0,0.0
10,2|2|1|1|1|1|1|1,4,princN2,0,1,,,
10,2|2|1|1|1|1|1|1,4,princN8,0,1,,,
10,2|2|1|1|1|1|1|1,4,princN9,0,0,,-15.0,0.0
10,2|2|1|1|1|1|1|1,4,princN10,0,0,,-0.0,15.0
10,2|2|1|1|1|1|1|1,4,fakedeg,0,0,,-15.0,-0.0
10,2|1|1|1|1|1|1|1|1,2,princN2,0,1,,,
10,2|1|1|1|1|1|1|1|1,2,princN9,0,0,0,1.0,0.0
10,2|1|1|1|1|1|1|1|1,2,princN10,0,0,0,1.0,0.0
10,2|1|1|1|1|1|1|1|1,2,fakedeg,0,0,0,1.0,0.0
10,2|1|1|1|1|1|1|1|1,3,princN2,0,1,,,
10,2|1|1|1|1|1|1|1|1,3,princN9,0,1,,,
10,2|1|1|1|1|1|1|1|1,3,princN10,0,1,,,
10,2|1|1|1|1|1|1|1|1,3,fakedeg,0,1,,,
10,2|1|1|1|1|1|1|1|1,4,princN2,0,1,,,
10,2|1|1|1|1|1|1|1|1,4,princN9,0,0,,5.0,4.0
10,2|1|1|1|1|1|1|1|1,4,princN10,0,0,,4.0,-5.0
10,2|1|1|1|1|1|1|1|1,4,fakedeg,0,0,,5.0,4.0
10,1|1|1|1|1|1|1|1|1|1,2,princN1,0,1,,,
10,1|1|1|1|1|1|1|1|1|1,2,princN10,0,0,0,1.0,0.0
10,1|1|1|1|1|1|1|1|1|1,2,princN11,0,0,0,1.0,0.0
10,1|1|1|1|1|1|1|1|1|1,2,fakedeg,0,0,0,1.0,0.0
10,1|1|1|1|1|1|1|1|1|1,3,princN1,0,1,,,
10,1|1|1|1|1|1|1|1|1|1,3,princN10,0,0,0,1.0,0.0
10,1|1|1|1|1|1|1|1|1|1,3,princN11,0,0,,0.5,-0.866025
10,1|1|1|1|1|1|1|1|1|1,3,fakedeg,0,0,0,1.0,0.0
10,1|1|1|1|1|1|1|1|1|1,4,princN1,0,1,,,
10,1|1|1|1|1|1|1|1|1|1,4,princN10,0,0,0,1.0,0.0
10,1|1|1|1|1|1|1|1|1|1,4,princN11,0,0,3,0.0,-1.0
10,1|1|1|1|1|1|1|1|1|1,4,fakedeg,0,0,0,1.0,0.0
11,11,2,princN1,0,0,0,1.0,0.0
11,11,2,princN2,0,1,,,
11,11,2,princN11,0,0,,0.003968,0.0
11,11,2,fakedeg,0,0,0,1.0,0.0
11,11,3,princN1,0,0,0,1.0,0.0
11,11,3,princN2,0,1,,,
11,11,3,princN11,0,1,,,
11,11,3,fakedeg,0,0,0,1.0,0.0
11,11,4,princN1,0,0,0,1.0,0.0
11,11,4,princN2,0,1,,,
11,11,4,princN11,0,1,,,
11,11,4,fakedeg,0,0,0,1.0,0.0
11,10|1,2,princN2,1,1,0,,
11,10|1,2,princN3,1,1,0,,
11,10|1,2,princN10,1,1,0,,
11,10|1,2,princN11,1,1,0,,
11,10|1,2,fakedeg,1,1,0,,
11,10|1,3,princN2,0,0,,-2.0,-5.196152
11,10|1,3,princN3,0,1,,,
11,10|1,3,princN10,0,1,,,
11,10|1,3,princN11,0,0,,-0.1,-0.259808
11,10|1,3,fakedeg,0,0,,-2.0,-5.196152
11,10|1,4,princN2,0,0,,-5.0,0.0
11,10|1,4,princN3,0,1,,,
11,10|1,4,princN10,0,0,,-0.833333,0.0
11,10|1,4,princN11,0,1,,,
11,10|1,4,fakedeg,0,0,,-5.0,0.0
11,9|2,2,princN2,0,1,,,
11,9|2,2,princN3,0,0,0,1.0,0.0
11,9|2,2,princN9,0,0,,0.017857,0.0
11,9|2,2,princN11,0,0,,0.007937,0.0
11,9|2,2,fakedeg,0,0,0,1.0,0.0
11,9|2,3,princN2,0,0,,4.0,15.588457
11,9|2,3,princN3,0,1,,,
11,9|2,3,princN9,0,1,,,
11,9|2,3,princN11,0,0,,0.2,0.779423
11,9|2,3,fakedeg,0,0,,4.0,15.588457
11,9|2,4,princN2,0,1,,,
11,9|2,4,princN3,0,1,,,
11,9|2,4,princN9,0,1,,,
11,9|2,4,princN11,0,1,,,
11,9|2,4,fakedeg,0,1,,,
11,9|1|1,2,princN3,0,0,0,1.0,0.0
11,9|1|1,2,princN4,0,1,,,
11,9|1|1,2,princN9,0,0,,0.017857,0.0
11,9|1|1,2,princN11,0,0,,0.007937,0.0
11,9|1|1,2,fakedeg,0,0,0,1.0,0.0
11,9|1|1,3,princN3,0,1,,,
11,9|1|1,3,princN4,0,1,,,
11,9|1|1,3,princN9,0,1,,,
11,9|1|1,3,princN11,0,1,,,
11,9|1|1,3,fakedeg,0,1,,,
11,9|1|1,4,princN3,0,0,,25.0,0.0
11,9|1|1,4,princN4,0,1,,,
11,9|1|1,4,princN9,0,1,,,
11,9|1|1,4,princN11,0,0,,4.166667,-0.0
11,9|1|1,4,fakedeg,0,0,,25.0,0.0
11,8|3,2,princN2,1,1,0,,
11,8|3,2,princN3,1,1,0,,
11,8|3,2,princN8,1,1,0,,
11,8|3,2,princN11,1,1,0,,
11,8|3,2,fakedeg,1,1,0,,
11,8|3,3,princN2,0,1,,,
11,8|3,3,princN3,0,1,,,
11,8|3,3,princN8,0,1,,,
11,8|3,3,princN11,0,1,,,
11,8|3,3,fakedeg,0,0,,14.5,5.196152
11,8|3,4,princN2,0,0,,15.0,-20.0
11,8|3,4,princN3,0,1,,,
11,8|3,4,princN8,0,1,,,
11,8|3,4,princN11,0,1,,,
11,8|3,4,fakedeg,0,0,,15.0,-20.0
11,8|2|1,2,princN3,0,0,0,1.0,-0.0
11,8|2|1,2,princN4,0,1,,,
11,8|2|1,2,princN8,0,1,,,
11,8|2|1,2,princN11,0,0,,0.007937,-0.0
11,8|2|1,2,fakedeg,0,0,0,1.0,-0.0
11,8|2|1,3,princN3,0,1,,,
11,8|2|1,3,princN4,0,0,,-14.5,-7.794229
11,8|2|1,3,princN8,0,1,,,
11,8|2|1,3,princN11,0,1,,,
11,8|2|1,3,fakedeg,0,0,,-14.5,-7.794229
11,8|2|1,4,princN3,0,0,,-75.0,44.0
11,8|2|1,4,princN4,0,1,,,
11,8|2|1,4,princN8,0,1,,,
11,8|2|1,4,princN11,0,0,,-12.5,7.333333
11,8|2|1,4,fakedeg,0,0,,-75.0,44.0
11,8|1|1|1,2,princN4,1,1,0,,
11,8|1|1|1,2,princN5,1,1,0,,
11,8|1|1|1,2,princN8,1,1,0,,
11,8|1|1|1,2,princN11,1,1,0,,
11,8|1|1|1,2,fakedeg,1,1,0,,
11,8|1|1|1,3,princN4,0,0,,4.5,4.330127
11,8|1|1|1,3,princN5,0,1,,,
11,8|1|1|1,3,princN8,0,1,,,
11,8|1|1|1,3,princN11,0,1,,,
11,8|1|1|1,3,fakedeg,0,0,,4.5,4.330127
11,8|1|1|1,4,princN4,0,1,,,
11,8|1|1|1,4,princN5,0,1,,,
11,8|1|1|1,4,princN8,0,1,,,
11,8|1|1|1,4,princN11,0,1,,,
11,8|1|1|1,4,fakedeg,0,1,,,
11,7|4,2,princN2,0,1,,,
11,7|4,2,princN3,0,0,,2.5,0.0
11,7|4,2,princN7,0,0,,0.083333,0.0
11,7|4,2,princN11,0,0,,0.011905,0.0
11,7|4,2,fakedeg,0,0,0,1.0,0.0
11,7|4,3,princN2,0,0,,-4.5,-38.971143
11,7|4,3,princN3,0,1,,,
11,7|4,3,princN7,0,1,,,
11,7|4,3,princN11,0,0,,-0.1125,-0.974279
11,7|4,3,fakedeg,0,0,,-1.5,-12.990381
11,7|4,4,princN2,0,1,,,
11,7|4,4,princN3,0,1,,,
11,7|4,4,princN7,0,1,,,
11,7|4,4,princN11,0,1,,,
11,7|4,4,fakedeg,0,0,,-15.0,-40.0
11,7|3|1,2,princN3,0,0,,2.5,-0.0
11,7|3|1,2,princN4,0,1,,,
11,7|3|1,2,princN7,0,0,,0.083333,0.0
11,7|3|1,2,princN11,0,0,,0.011905,0.0
11,7|3|1,2,fakedeg,0,0,0,1.0,-0.0
11,7|3|1,3,princN3,0,1,,,
11,7|3|1,3,princN4,0,0,,85.0,51.961524
11,7|3|1,3,princN7,0,0,,21.25,12.990381
11,7|3|1,3,princN11,0,1,,,
11,7|3|1,3,fakedeg,0,0,,85.0,51.961524
11,7|3|1,4,princN3,0,1,,,
11,7|3|1,4,princN4,0,1,,,
11,7|3|1,4,princN7,0,1,,,
11,7|3|1,4,princN11,0,1,,,
11,7|3|1,4,fakedeg,0,0,,55.0,50.0
11,7|2|2,2,princN3,0,0,,5.0,-0.0
11,7|2|2,2,princN4,0,1,,,
11,7|2|2,2,princN7,0,0,,0.111111,0.0
11,7|2|2,2,princN11,0,0,,0.014286,0.0
11,7|2|2,2,fakedeg,0,0,0,1.0,0.0
11,7|2|2,3,princN3,0,1,,,
11,7|2|2,3,princN4,0,1,,,
11,7|2|2,3,princN7,0,1,,,
11,7|2|2,3,princN11,0,0,,-0.2,3.117691
11,7|2|2,3,fakedeg,0,0,,-2.0,31.176915
11,7|2|2,4,princN3,0,0,,45.0,-100.0
11,7|2|2,4,princN4,0,1,,,
11,7|2|2,4,princN7,0,0,,15.0,-33.333333
11,7|2|2,4,princN11,0,0,,7.5,-16.666667
11,7|2|2,4,fakedeg,0,0,,45.0,-100.0
11,7|2|1|1,2,princN4,0,1,,,
11,7|2|1|1,2,princN5,0,0,0,1.0,0.0
11,7|2|1|1,2,princN7,0,0,,0.166667,0.0
11,7|2|1|1,2,princN11,0,0,,0.017857,0.0
11,7|2|1|1,2,fakedeg,0,0,0,1.0,0.0
11,7|2|1|1,3,princN4,0,1,,,
11,7|2|1|1,3,princN5,0,1,,,
11,7|2|1|1,3,princN7,0,1,,,
11,7|2|1|1,3,princN11,0,1,,,
11,7|2|1|1,3,fakedeg,0,1,,,
11,7|2|1|1,4,princN4,0,1,,,
11,7|2|1|1,4,princN5,0,0,,-93.0,-30.0
11,7|2|1|1,4,princN7,0,1,,,
11,7|2|1|1,4,princN11,0,1,,,
11,7|2|1|1,4,fakedeg,0,0,,-93.0,-30.0
11,7|1|1|1|1,2,princN5,0,0,0,1.0,0.0
11,7|1|1|1|1,2,princN6,0,1,,,
11,7|1|1|1|1,2,princN7,0,0,,0.166667,0.0
11,7|1|1|1|1,2,princN11,0,0,,0.017857,0.0
11,7|1|1|1|1,2,fakedeg,0,0,0,1.0,0.0
11,7|1|1|1|1,3,princN5,0,0,,3.5,-6.062178
11,7|1|1|1|1,3,princN6,0,1,,,
11,7|1|1|1|1,3,princN7,0,1,,,
11,7|1|1|1|1,3,princN11,0,0,,0.35,-0.606218
11,7|1|1|1|1,3,fakedeg,0,0,,3.5,-6.062178
11,7|1|1|1|1,4,princN5,0,0,,45.0,-0.0
11,7|1|1|1|1,4,princN6,0,1,,,
11,7|1|1|1|1,4,princN7,0,1,,,
11,7|1|1|1|1,4,princN11,0,1,,,
11,7|1|1|1|1,4,fakedeg,0,0,,45.0,-0.0
11,6|5,2,princN2,1,1,0,,
11,6|5,2,princN3,1,1,0,,
11,6|5,2,princN6,1,1,0,,
11,6|5,2,princN11,1,1,0,,
11,6|5,2,fakedeg,1,1,0,,
11,6|5,3,princN2,0,0,,1.5,28.578838
11,6|5,3,princN3,0,1,,,
11,6|5,3,princN6,0,1,,,
11,6|5,3,princN11,0,0,,0.0375,0.714471
11,6|5,3,fakedeg,0,0,,0.5,9.526279
11,6|5,4,princN2,0,0,,-6.0,20.0
11,6|5,4,princN3,0,1,,,
11,6|5,4,princN6,0,0,,-1.5,5.0
11,6|5,4,princN11,0,1,,,
11,6|5,4,fakedeg,0,0,,-3.0,10.0
11,6|4|1,2,princN3,0,0,,2.5,-0.0
11,6|4|1,2,princN4,0,1,,,
11,6|4|1,2,princN6,0,1,,,
11,6|4|1,2,princN11,0,0,,0.011905,-0.0
11,6|4|1,2,fakedeg,0,0,0,1.0,-0.0
11,6|4|1,3,princN3,0,1,,,
11,6|4|1,3,princN4,0,1,,,
11,6|4|1,3,princN6,0,1,,,
11,6|4|1,3,princN11,0,1,,,
11,6|4|1,3,fakedeg,0,1,,,
11,6|4|1,4,princN3,0,1,,,
11,6|4|1,4,princN4,0,1,,,
11,6|4|1,4,princN6,0,1,,,
11,6|4|1,4,princN11,0,1,,,
11,6|4|1,4,fakedeg,0,0,,-131.0,-84.0
11,6|3|2,2,princN3,1,1,0,,
11,6|3|2,2,princN4,1,1,0,,
11,6|3|2,2,princN6,1,1,0,,
11,6|3|2,2,princN11,1,1,0,,
11,6|3|2,2,fakedeg,1,1,0,,
11,6|3|2,3,princN3,0,1,,,
11,6|3|2,3,princN4,0,1,,,
11,6|3|2,3,princN6,0,1,,,
11,6|3|2,3,princN11,0,1,,,
11,6|3|2,3,fakedeg,0,1,,,
11,6|3|2,4,princN3,0,1,,,
11,6|3|2,4,princN4,0,1,,,
11,6|3|2,4,princN6,0,0,,-85.0,-120.0
11,6|3|2,4,princN11,0,1,,,
11,6|3|2,4,fakedeg,0,0,,-85.0,-120.0
11,6|3|1|1,2,princN4,1,1,0,,
11,6|3|1|1,2,princN5,1,1,0,,
11,6|3|1|1,2,princN6,1,1,0,,
11,6|3|1|1,2,princN11,1,1,0,,
11,6|3|1|1,2,fakedeg,1,1,0,,
11,6|3|1|1,3,princN4,0,0,,-110.0,-114.315353
11,6|3|1|1,3,princN5,0,1,,,
11,6|3|1|1,3,princN6,0,1,,,
11,6|3|1|1,3,princN11,0,1,,,
11,6|3|1|1,3,fakedeg,0,0,,-110.0,-114.315353
11,6|3|1|1,4,princN4,0,1,,,
11,6|3|1|1,4,princN5,0,1,,,
11,6|3|1|1,4,princN6,0,1,,,
11,6|3|1|1,4,princN11,0,1,,,
11,6|3|1|1,4,fakedeg,0,1,,,
11,6|2|2|1,2,princN4,1,1,0,,
11,6|2|2|1,2,princN5,1,1,0,,
11,6|2|2|1,2,princN6,1,1,0,,
11,6|2|2|1,2,princN11,1,1,0,,
11,6|2|2|1,2,fakedeg,1,1,0,,
11,6|2|2|1,3,princN4,0,1,,,
11,6|2|2|1,3,princN5,0,0,,17.5,-64.951905
11,6|2|2|1,3,princN6,0,1,,,
11,6|2|2|1,3,princN11,0,0,,1.75,-6.495191
11,6|2|2|1,3,fakedeg,0,0,,17.5,-64.951905
11,6|2|2|1,4,princN4,0,1,,,
11,6|2|2|1,4,princN5,0,1,,,
11,6|2|2|1,4,princN6,0,0,,85.0,50.0
11,6|2|2|1,4,princN11,0,1,,,
11,6|2|2|1,4,fakedeg,0,0,,85.0,50.0
11,6|2|1|1|1,2,princN5,0,0,0,1.0,-0.0
11,6|2|1|1|1,2,princN6,0,1,,,
11,6|2|1|1|1,2,princN11,0,0,,0.017857,-0.0
11,6|2|1|1|1,2,fakedeg,0,0,0,1.0,-0.0
11,6|2|1|1|1,3,princN5,0,0,,-13.5,28.578838
11,6|2|1|1|1,3,princN6,0,1,,,
11,6|2|1|1|1,3,princN11,0,0,,-1.35,2.857884
11,6|2|1|1|1,3,fakedeg,0,0,,-13.5,28.578838
11,6|2|1|1|1,4,princN5,0,1,,,
11,6|2|1|1|1,4,princN6,0,1,,,
11,6|2|1|1|1,4,princN11,0,1,,,
11,6|2|1|1|1,4,fakedeg,0,1,,,
11,6|1|1|1|1|1,2,princN6,1,1,0,,
11,6|1|1|1|1|1,2,princN7,1,1,0,,
11,6|1|1|1|1|1,2,princN11,1,1,0,,
11,6|1|1|1|1|1,2,fakedeg,1,1,0,,
11,6|1|1|1|1|1,3,princN6,0,1,,,
11,6|1|1|1|1|1,3,princN7,0,1,,,
11,6|1|1|1|1|1,3,princN11,0,1,,,
11,6|1|1|1|1|1,3,fakedeg,0,1,,,
11,6|1|1|1|1|1,4,princN6,0,0,,-37.0,-0.0
11,6|1|1|1|1|1,4,princN7,0,1,,,
11,6|1|1|1|1|1,4,princN11,0,1,,,
11,6|1|1|1|1|1,4,fakedeg,0,0,,-37.0,-0.0
11,5|5|1,2,princN3,0,0,,3.333333,-0.0
11,5|5|1,2,princN4,0,1,,,
11,5|5|1,2,princN5,0,0,,0.416667,-0.0
11,5|5|1,2,princN11,0,0,,0.013605,0.0
11,5|5|1,2,fakedeg,0,0,0,1.0,-0.0
11,5|5|1,3,princN3,0,1,,,
11,5|5|1,3,princN4,0,0,,-20.25,-16.887495
11,5|5|1,3,princN5,0,1,,,
11,5|5|1,3,princN11,0,1,,,
11,5|5|1,3,fakedeg,0,0,,-13.5,-11.25833
11,5|5|1,4,princN3,0,0,,30.0,-60.0
11,5|5|1,4,princN4,0,1,,,
11,5|5|1,4,princN5,0,1,,,
11,5|5|1,4,princN11,0,0,,3.333333,-6.666667
11,5|5|1,4,fakedeg,0,0,,15.0,-30.0
11,5|4|2,2,princN3,0,0,,10.0,-0.0
11,5|4|2,2,princN4,0,1,,,
11,5|4|2,2,princN5,0,0,,0.833333,0.0
11,5|4|2,2,princN11,0,0,,0.019048,0.0
11,5|4|2,2,fakedeg,0,0,0,1.0,0.0
11,5|4|2,3,princN3,0,1,,,
11,5|4|2,3,princN4,0,1,,,
11,5|4|2,3,princN5,0,1,,,
11,5|4|2,3,princN11,0,1,,,
11,5|4|2,3,fakedeg,0,1,,,
11,5|4|2,4,princN3,0,0,,-10.0,180.0
11,5|4|2,4,princN4,0,1,,,
11,5|4|2,4,princN5,0,1,,,
11,5|4|2,4,princN11,0,0,,-1.111111,20.0
11,5|4|2,4,fakedeg,0,0,,-5.0,90.0
11,5|4|1|1,2,princN4,0,1,,,
11,5|4|1|1,2,princN5,0,0,,1.666667,0.0
